epoch,activation_function,train_loss,test_loss,accuracy,precision,recall,f1_score
0,ReLU,2.2115,2.0434,0.1,nan,0.100911,nan
1,ReLU,2.01955,1.94357,0.092,0.0784032,0.0958325,0.0862461
2,ReLU,1.95073,1.88396,0.088,0.0790354,0.0917924,0.0849376
3,ReLU,1.86532,1.81677,0.112,0.113976,0.117401,0.115663
4,ReLU,1.78988,1.7571,0.124,0.128826,0.139292,0.133855
5,ReLU,1.70962,1.71491,0.132,0.136853,0.1484,0.142393
6,ReLU,1.62851,1.67715,0.132,0.136682,0.1484,0.1423
7,ReLU,1.54818,1.64323,0.14,0.147155,0.153192,0.150113
8,ReLU,1.47385,1.61293,0.144,0.149118,0.156418,0.152681
9,ReLU,1.40423,1.58804,0.144,0.150665,0.156418,0.153487
10,ReLU,1.3411,1.56259,0.156,0.163008,0.171631,0.167209
11,ReLU,1.28476,1.53855,0.156,0.166869,0.173738,0.170234
12,ReLU,1.23136,1.51338,0.164,0.170906,0.18019,0.175425
13,ReLU,1.18247,1.49285,0.168,0.18169,0.188729,0.185142
14,ReLU,1.136,1.47087,0.176,0.178584,0.194639,0.186266
15,ReLU,1.09125,1.45382,0.176,0.186258,0.195871,0.190944
16,ReLU,1.04898,1.43296,0.188,0.188292,0.207887,0.197605
17,ReLU,1.00932,1.41669,0.172,0.182331,0.190661,0.186403
18,ReLU,0.972535,1.40349,0.192,0.187657,0.213769,0.199864
19,ReLU,0.939558,1.37973,0.188,0.201346,0.203865,0.202598
20,ReLU,0.904483,1.37561,0.196,0.190542,0.217341,0.203061
21,ReLU,0.87228,1.3448,0.196,0.21263,0.211313,0.21197
22,ReLU,0.839734,1.3486,0.2,0.194185,0.221035,0.206742
23,ReLU,0.807982,1.31473,0.196,0.205414,0.211313,0.208322
24,ReLU,0.777931,1.32239,0.204,0.199878,0.224065,0.211281
25,ReLU,0.749008,1.2883,0.192,0.196504,0.207865,0.202025
26,ReLU,0.72279,1.30055,0.208,0.202255,0.227637,0.214196
27,ReLU,0.696669,1.2641,0.204,0.209034,0.219481,0.21413
28,ReLU,0.673606,1.28201,0.204,0.201386,0.224411,0.212276
29,ReLU,0.650625,1.24235,0.204,0.210349,0.219481,0.214818
30,ReLU,0.629609,1.26493,0.2,0.198291,0.221185,0.209113
31,ReLU,0.609509,1.22192,0.196,0.202102,0.210354,0.206145
32,ReLU,0.590301,1.24901,0.196,0.192525,0.215477,0.203355
33,ReLU,0.57226,1.20398,0.192,0.197872,0.204799,0.201276
34,ReLU,0.554153,1.23272,0.196,0.192791,0.215282,0.203417
35,ReLU,0.536054,1.18817,0.192,0.198879,0.207128,0.20292
36,ReLU,0.519123,1.21647,0.204,0.197432,0.224631,0.210155
37,ReLU,0.500954,1.17415,0.196,0.203449,0.210354,0.206844
38,ReLU,0.485582,1.20207,0.204,0.200448,0.221779,0.210574
39,ReLU,0.468445,1.16149,0.196,0.20311,0.20792,0.205487
40,ReLU,0.455233,1.18938,0.204,0.201389,0.221656,0.211037
41,ReLU,0.439186,1.14949,0.2,0.21068,0.214017,0.212335
42,ReLU,0.427559,1.17836,0.208,0.206391,0.229348,0.217265
43,ReLU,0.41255,1.13885,0.204,0.212396,0.221291,0.216752
44,ReLU,0.40171,1.16824,0.212,0.21071,0.233043,0.221314
45,ReLU,0.387752,1.1289,0.208,0.216671,0.221058,0.218842
46,ReLU,0.377247,1.15872,0.212,0.210283,0.233043,0.221079
47,ReLU,0.364871,1.12008,0.212,0.216334,0.226613,0.221354
48,ReLU,0.354491,1.14999,0.22,0.222356,0.240614,0.231125
49,ReLU,0.34393,1.11233,0.216,0.219669,0.230268,0.224843
50,ReLU,0.333854,1.14209,0.22,0.221554,0.240614,0.230691
51,ReLU,0.32494,1.10549,0.228,0.230676,0.242497,0.236439
52,ReLU,0.31502,1.1344,0.22,0.223864,0.238303,0.230858
53,ReLU,0.306978,1.09967,0.224,0.226241,0.238926,0.232411
54,ReLU,0.297697,1.12718,0.228,0.236255,0.243564,0.239854
55,ReLU,0.290337,1.0946,0.22,0.219121,0.2357,0.227109
56,ReLU,0.281782,1.11982,0.232,0.238053,0.247135,0.242509
57,ReLU,0.274735,1.08972,0.22,0.219429,0.2357,0.227274
58,ReLU,0.266933,1.11254,0.232,0.238494,0.247135,0.242738
59,ReLU,0.260127,1.08585,0.22,0.219858,0.2357,0.227503
60,ReLU,0.253274,1.10468,0.236,0.242142,0.250165,0.246088
61,ReLU,0.246335,1.08242,0.232,0.230918,0.248275,0.239282
62,ReLU,0.240767,1.09651,0.24,0.244683,0.253737,0.249128
63,ReLU,0.233828,1.0796,0.236,0.234752,0.251847,0.242999
64,ReLU,0.229838,1.08877,0.236,0.242036,0.250707,0.246295
65,ReLU,0.222672,1.07729,0.24,0.238389,0.257729,0.247682
66,ReLU,0.219915,1.08184,0.232,0.240219,0.248105,0.244098
67,ReLU,0.212711,1.07451,0.236,0.234025,0.253729,0.243479
68,ReLU,0.210091,1.07547,0.236,0.245188,0.251676,0.24839
69,ReLU,0.202879,1.0717,0.24,0.237437,0.2573,0.24697
70,ReLU,0.199374,1.07046,0.236,0.247729,0.24902,0.248373
71,ReLU,0.192772,1.06787,0.24,0.239311,0.2573,0.24798
72,ReLU,0.188534,1.06648,0.232,0.243377,0.245448,0.244408
73,ReLU,0.182451,1.06378,0.24,0.241362,0.257842,0.24933
74,ReLU,0.177916,1.06301,0.236,0.247706,0.250463,0.249077
75,ReLU,0.17231,1.05911,0.24,0.240871,0.258187,0.249229
76,ReLU,0.167868,1.06,0.232,0.2458,0.246891,0.246344
77,ReLU,0.162752,1.05466,0.244,0.244507,0.261759,0.252839
78,ReLU,0.1587,1.05727,0.232,0.244112,0.247237,0.245664
79,ReLU,0.154237,1.0506,0.252,0.254648,0.268901,0.26158
80,ReLU,0.15055,1.05448,0.232,0.242313,0.247237,0.24475
81,ReLU,0.146614,1.04679,0.252,0.254648,0.268901,0.26158
82,ReLU,0.14315,1.05148,0.232,0.242313,0.247237,0.24475
83,ReLU,0.139536,1.04345,0.252,0.255936,0.268901,0.262259
84,ReLU,0.136312,1.0484,0.236,0.244036,0.250808,0.247376
85,ReLU,0.13304,1.04065,0.24,0.24366,0.256203,0.249774
86,ReLU,0.129953,1.04549,0.236,0.24269,0.250808,0.246682
87,ReLU,0.126857,1.03791,0.24,0.243718,0.256203,0.249805
88,ReLU,0.123983,1.04255,0.24,0.245203,0.254808,0.249913
89,ReLU,0.121099,1.03564,0.248,0.249619,0.263346,0.256299
90,ReLU,0.118358,1.03963,0.236,0.240524,0.249253,0.244811
91,ReLU,0.115593,1.03358,0.244,0.244228,0.26012,0.251924
92,ReLU,0.113003,1.03689,0.236,0.240507,0.249253,0.244802
93,ReLU,0.110428,1.03147,0.248,0.249546,0.26412,0.256626
94,ReLU,0.107994,1.03425,0.24,0.244249,0.252701,0.248403
95,ReLU,0.105589,1.0295,0.248,0.248997,0.26412,0.256336
96,ReLU,0.103294,1.03168,0.236,0.240097,0.249253,0.244589
97,ReLU,0.101043,1.02764,0.244,0.246569,0.258238,0.252269
98,ReLU,0.0989094,1.02936,0.24,0.243102,0.255135,0.248973
99,ReLU,0.0968156,1.02577,0.24,0.24244,0.25479,0.248461
100,ReLU,0.0948055,1.02708,0.244,0.248254,0.258361,0.253207
101,ReLU,0.0928569,1.0241,0.244,0.247698,0.258361,0.252917
102,ReLU,0.0909669,1.02494,0.244,0.247839,0.258361,0.252991
103,ReLU,0.0891322,1.02248,0.244,0.247698,0.258361,0.252917
104,ReLU,0.0873542,1.02292,0.244,0.247698,0.258361,0.252917
105,ReLU,0.0856304,1.02086,0.244,0.247788,0.258361,0.252964
106,ReLU,0.0839578,1.02114,0.244,0.247788,0.258361,0.252964
107,ReLU,0.0823246,1.01948,0.244,0.247998,0.258361,0.253074
108,ReLU,0.080745,1.0195,0.244,0.247998,0.258361,0.253074
109,ReLU,0.0791964,1.01817,0.244,0.247998,0.258361,0.253074
110,ReLU,0.0776999,1.01803,0.244,0.247998,0.258361,0.253074
111,ReLU,0.0762359,1.01695,0.248,0.251197,0.264243,0.257555
112,ReLU,0.0748066,1.01674,0.248,0.251197,0.264243,0.257555
113,ReLU,0.0734189,1.01577,0.248,0.251197,0.264243,0.257555
114,ReLU,0.0720635,1.01555,0.248,0.251197,0.264243,0.257555
115,ReLU,0.0707402,1.01459,0.248,0.251197,0.264243,0.257555
116,ReLU,0.0694441,1.01444,0.252,0.254307,0.267815,0.260886
117,ReLU,0.068185,1.01358,0.252,0.254307,0.267815,0.260886
118,ReLU,0.0669584,1.01346,0.252,0.254307,0.267815,0.260886
119,ReLU,0.0657476,1.01269,0.252,0.254307,0.267815,0.260886
120,ReLU,0.064563,1.01233,0.256,0.257149,0.271386,0.264076
121,ReLU,0.0634058,1.01183,0.256,0.257149,0.271386,0.264076
122,ReLU,0.0622749,1.01147,0.256,0.257149,0.271386,0.264076
123,ReLU,0.0611637,1.01096,0.256,0.257149,0.271386,0.264076
124,ReLU,0.0600801,1.01058,0.256,0.257149,0.271386,0.264076
125,ReLU,0.0590164,1.01006,0.256,0.257149,0.271386,0.264076
126,ReLU,0.0579751,1.00965,0.248,0.248726,0.263815,0.256048
127,ReLU,0.0569505,1.00934,0.248,0.248726,0.263815,0.256048
128,ReLU,0.0559499,1.00885,0.248,0.248726,0.263815,0.256048
129,ReLU,0.054969,1.00843,0.248,0.248726,0.263815,0.256048
130,ReLU,0.0540134,1.00811,0.248,0.248726,0.263815,0.256048
131,ReLU,0.0530784,1.00773,0.248,0.249652,0.263815,0.256538
132,ReLU,0.0521598,1.00735,0.248,0.249652,0.263815,0.256538
133,ReLU,0.0512614,1.00701,0.248,0.250996,0.263815,0.257246
134,ReLU,0.0503845,1.00669,0.248,0.250996,0.263815,0.257246
135,ReLU,0.0495212,1.00645,0.248,0.250996,0.263815,0.257246
136,ReLU,0.0486714,1.00612,0.248,0.2512,0.263815,0.257353
137,ReLU,0.0478423,1.00576,0.248,0.2512,0.263815,0.257353
138,ReLU,0.0470261,1.00547,0.248,0.2512,0.263815,0.257353
139,ReLU,0.0462235,1.00518,0.248,0.2512,0.263815,0.257353
140,ReLU,0.045437,1.00494,0.248,0.2512,0.263815,0.257353
141,ReLU,0.0446622,1.00467,0.248,0.2512,0.263815,0.257353
142,ReLU,0.0438977,1.00442,0.248,0.2512,0.263815,0.257353
143,ReLU,0.0431507,1.0041,0.248,0.251137,0.263815,0.25732
144,ReLU,0.0424147,1.00391,0.248,0.251137,0.263815,0.25732
145,ReLU,0.0416899,1.0036,0.248,0.251137,0.263815,0.25732
146,ReLU,0.0409798,1.0034,0.248,0.251137,0.263815,0.25732
147,ReLU,0.0402818,1.00313,0.248,0.252991,0.263815,0.25829
148,ReLU,0.0395972,1.00285,0.248,0.252991,0.263815,0.25829
149,ReLU,0.0389227,1.00267,0.248,0.252991,0.263815,0.25829
150,ReLU,0.0382554,1.00242,0.248,0.252991,0.263815,0.25829
151,ReLU,0.0376019,1.00224,0.248,0.252991,0.263815,0.25829
152,ReLU,0.0369622,1.00205,0.248,0.252857,0.263815,0.25822
153,ReLU,0.0363308,1.00174,0.248,0.253185,0.263815,0.258391
154,ReLU,0.0357114,1.00164,0.248,0.253185,0.263815,0.258391
155,ReLU,0.0350991,1.00142,0.248,0.253454,0.263815,0.258531
156,ReLU,0.034497,1.00122,0.248,0.253454,0.263815,0.258531
157,ReLU,0.0339056,1.00105,0.248,0.253454,0.263815,0.258531
158,ReLU,0.033323,1.00094,0.252,0.258551,0.267263,0.262835
159,ReLU,0.0327489,1.00073,0.252,0.258551,0.267263,0.262835
