epoch,activation_function,train_loss,test_loss,accuracy,precision,recall,f1_score
0,ReLU,1.10245,0.998713,0.096,nan,0.0951855,nan
1,ReLU,0.945739,0.922064,0.092,nan,0.0926963,nan
2,ReLU,0.856832,0.855075,0.088,0.0821954,0.085004,0.0835761
3,ReLU,0.791995,0.796919,0.08,0.0758314,0.0791041,0.0774332
4,ReLU,0.737761,0.747021,0.076,0.07125,0.0714118,0.0713308
5,ReLU,0.692206,0.705186,0.08,0.0730327,0.0744421,0.0737307
6,ReLU,0.654454,0.670815,0.076,0.0694305,0.0688866,0.0691574
7,ReLU,0.623371,0.642976,0.08,0.0796499,0.0792783,0.0794637
8,ReLU,0.59713,0.620117,0.088,0.0916917,0.091043,0.0913662
9,ReLU,0.574167,0.600618,0.108,0.115507,0.110006,0.112689
10,ReLU,0.553685,0.583269,0.108,0.113009,0.108022,0.110459
11,ReLU,0.534985,0.567758,0.104,0.111346,0.10445,0.107788
12,ReLU,0.517992,0.55374,0.108,0.117255,0.110332,0.113688
13,ReLU,0.502297,0.540875,0.1,0.110844,0.10319,0.10688
14,ReLU,0.487761,0.528792,0.1,0.109881,0.10319,0.10643
15,ReLU,0.474132,0.517618,0.104,0.113224,0.106761,0.109898
16,ReLU,0.461507,0.507034,0.108,0.116545,0.112643,0.114561
17,ReLU,0.449557,0.497046,0.104,0.11047,0.104951,0.10764
18,ReLU,0.438244,0.487785,0.104,0.111482,0.107803,0.109612
19,ReLU,0.42774,0.479037,0.104,0.112296,0.107803,0.110004
20,ReLU,0.417924,0.470787,0.108,0.114006,0.113359,0.113682
21,ReLU,0.408877,0.462943,0.112,0.115443,0.118914,0.117153
22,ReLU,0.400317,0.455519,0.112,0.113621,0.11926,0.116372
23,ReLU,0.392187,0.448462,0.116,0.117565,0.124815,0.121082
24,ReLU,0.384475,0.441819,0.112,0.113149,0.121244,0.117057
25,ReLU,0.377179,0.435505,0.12,0.121774,0.128264,0.124935
26,ReLU,0.370303,0.42952,0.116,0.11819,0.125233,0.12161
27,ReLU,0.363875,0.423895,0.12,0.120914,0.128264,0.12448
28,ReLU,0.357806,0.41852,0.116,0.117922,0.122381,0.12011
29,ReLU,0.351996,0.413374,0.116,0.117739,0.122381,0.120015
30,ReLU,0.346424,0.408441,0.12,0.120626,0.125953,0.123232
31,ReLU,0.341089,0.403766,0.124,0.126026,0.133645,0.129724
32,ReLU,0.336001,0.399319,0.124,0.125879,0.133645,0.129646
33,ReLU,0.33119,0.39511,0.124,0.125404,0.133645,0.129394
34,ReLU,0.326598,0.391102,0.124,0.125262,0.133645,0.129318
35,ReLU,0.322179,0.387247,0.124,0.125262,0.133645,0.129318
36,ReLU,0.31793,0.383584,0.124,0.125262,0.133645,0.129318
37,ReLU,0.313868,0.380113,0.124,0.125644,0.133645,0.129521
38,ReLU,0.309987,0.376835,0.128,0.130475,0.137093,0.133703
39,ReLU,0.306269,0.373702,0.128,0.131047,0.137093,0.134002
40,ReLU,0.302687,0.370727,0.128,0.132266,0.137093,0.134636
41,ReLU,0.299253,0.36789,0.128,0.13367,0.137093,0.13536
42,ReLU,0.295951,0.365184,0.124,0.131116,0.133522,0.132308
43,ReLU,0.2928,0.362612,0.124,0.131116,0.133522,0.132308
44,ReLU,0.289793,0.360151,0.124,0.131685,0.133522,0.132597
45,ReLU,0.286884,0.357774,0.124,0.131283,0.133522,0.132393
46,ReLU,0.284081,0.355488,0.124,0.132869,0.133645,0.133256
47,ReLU,0.281379,0.353294,0.124,0.132869,0.133645,0.133256
48,ReLU,0.278762,0.351187,0.132,0.140903,0.140675,0.140789
49,ReLU,0.276248,0.349157,0.136,0.14664,0.144124,0.145371
50,ReLU,0.273831,0.347185,0.14,0.153167,0.147695,0.150381
51,ReLU,0.2715,0.345279,0.14,0.152398,0.147695,0.15001
52,ReLU,0.269251,0.343439,0.14,0.152612,0.147695,0.150113
53,ReLU,0.267084,0.341685,0.144,0.156402,0.150725,0.153511
54,ReLU,0.265,0.34,0.14,0.152083,0.147277,0.149641
55,ReLU,0.262988,0.338357,0.136,0.1457,0.143829,0.144758
56,ReLU,0.261034,0.33677,0.14,0.148084,0.149384,0.148732
57,ReLU,0.259155,0.335262,0.14,0.148084,0.149384,0.148732
58,ReLU,0.257343,0.333806,0.14,0.148712,0.149384,0.149047
59,ReLU,0.255587,0.332422,0.14,0.148712,0.149384,0.149047
60,ReLU,0.253897,0.33109,0.14,0.148712,0.149384,0.149047
61,ReLU,0.252267,0.329809,0.14,0.148712,0.149384,0.149047
62,ReLU,0.250683,0.328582,0.132,0.141515,0.142242,0.141877
63,ReLU,0.249139,0.32738,0.132,0.141515,0.142242,0.141877
64,ReLU,0.247649,0.326225,0.132,0.141515,0.142242,0.141877
65,ReLU,0.246213,0.325092,0.132,0.141887,0.142242,0.142064
66,ReLU,0.244817,0.324026,0.132,0.145277,0.142242,0.143743
67,ReLU,0.243463,0.322974,0.132,0.143918,0.142242,0.143075
68,ReLU,0.242141,0.321975,0.132,0.14359,0.142242,0.142912
69,ReLU,0.240853,0.320993,0.132,0.142045,0.142242,0.142143
70,ReLU,0.239602,0.320061,0.136,0.144566,0.145272,0.144918
71,ReLU,0.238395,0.31915,0.136,0.1452,0.145272,0.145236
72,ReLU,0.237215,0.318277,0.136,0.147139,0.145272,0.146199
73,ReLU,0.236068,0.317449,0.136,0.154811,0.147409,0.151019
74,ReLU,0.234954,0.316632,0.136,0.152856,0.147409,0.150083
75,ReLU,0.233868,0.315842,0.136,0.152322,0.147409,0.149825
76,ReLU,0.232809,0.31509,0.14,0.157141,0.150634,0.153819
77,ReLU,0.231778,0.314358,0.14,0.157141,0.150634,0.153819
78,ReLU,0.230775,0.313663,0.14,0.157184,0.150634,0.15384
79,ReLU,0.229791,0.312987,0.14,0.155146,0.150634,0.152857
80,ReLU,0.228835,0.312337,0.136,0.152258,0.147063,0.149615
81,ReLU,0.227904,0.311699,0.136,0.152258,0.147063,0.149615
82,ReLU,0.226995,0.311081,0.14,0.155955,0.150289,0.153069
83,ReLU,0.226103,0.310473,0.14,0.155955,0.150289,0.153069
84,ReLU,0.225232,0.309907,0.14,0.158057,0.15083,0.154359
85,ReLU,0.224389,0.309377,0.14,0.158273,0.15083,0.154462
86,ReLU,0.223568,0.308849,0.14,0.158828,0.15083,0.154726
87,ReLU,0.222765,0.308352,0.14,0.158551,0.15083,0.154594
88,ReLU,0.221972,0.307871,0.14,0.158551,0.15083,0.154594
89,ReLU,0.221198,0.307399,0.136,0.155769,0.1478,0.151679
90,ReLU,0.220441,0.306935,0.136,0.155769,0.1478,0.151679
91,ReLU,0.219701,0.306453,0.136,0.155769,0.1478,0.151679
92,ReLU,0.218976,0.30601,0.14,0.160555,0.151371,0.155828
93,ReLU,0.218265,0.305584,0.144,0.163511,0.154401,0.158826
94,ReLU,0.217569,0.305152,0.14,0.161427,0.148846,0.154882
95,ReLU,0.216888,0.304752,0.14,0.161427,0.148846,0.154882
96,ReLU,0.216221,0.304361,0.14,0.161345,0.148846,0.154843
97,ReLU,0.215568,0.303946,0.14,0.160388,0.148846,0.154401
98,ReLU,0.214928,0.303583,0.14,0.160396,0.148846,0.154405
99,ReLU,0.2143,0.303209,0.14,0.160396,0.148846,0.154405
100,ReLU,0.213688,0.302861,0.14,0.160396,0.148846,0.154405
101,ReLU,0.213086,0.302506,0.14,0.160396,0.148846,0.154405
102,ReLU,0.212495,0.302174,0.14,0.160396,0.148846,0.154405
103,ReLU,0.211914,0.301841,0.14,0.161102,0.148846,0.154732
104,ReLU,0.211342,0.301502,0.14,0.161822,0.148846,0.155063
105,ReLU,0.21078,0.301196,0.136,0.15708,0.145274,0.150947
106,ReLU,0.210229,0.300886,0.136,0.15708,0.145274,0.150947
107,ReLU,0.209688,0.3006,0.136,0.157291,0.145274,0.151044
108,ReLU,0.209156,0.300319,0.136,0.156644,0.145274,0.150745
109,ReLU,0.208633,0.300031,0.136,0.156424,0.145274,0.150643
110,ReLU,0.208117,0.299776,0.136,0.157856,0.145274,0.151304
111,ReLU,0.207609,0.299487,0.136,0.158997,0.145274,0.151826
112,ReLU,0.207113,0.299226,0.136,0.159637,0.145274,0.152117
