epoch,activation_function,train_loss,test_loss,accuracy,precision,recall,f1_score
0,ReLU,2.42942,2.07402,0.152,nan,0.168166,nan
1,ReLU,2.14787,2.23292,0.156,nan,0.135465,nan
2,ReLU,2.24397,2.08556,0.144,nan,0.208771,nan
3,ReLU,2.03896,1.95319,0.152,nan,0.160249,nan
4,ReLU,1.88865,1.86991,0.144,nan,0.151903,nan
5,ReLU,1.64945,1.58949,0.144,0.118643,0.164542,0.137873
6,ReLU,1.24456,1.49122,0.144,0.139286,0.158632,0.148331
7,ReLU,1.06061,1.44102,0.144,0.136521,0.155239,0.14528
8,ReLU,0.935435,1.41179,0.152,0.141691,0.167003,0.153309
9,ReLU,0.841913,1.38418,0.152,0.140943,0.164815,0.151947
10,ReLU,0.764988,1.36741,0.136,0.13097,0.150091,0.13988
11,ReLU,0.700197,1.33769,0.148,0.142113,0.161796,0.151317
12,ReLU,0.645149,1.33586,0.124,0.123221,0.136985,0.129739
13,ReLU,0.596653,1.30426,0.156,0.146311,0.17356,0.158775
14,ReLU,0.552269,1.29903,0.14,0.139893,0.152154,0.145766
15,ReLU,0.51103,1.27402,0.148,0.140759,0.163332,0.151208
16,ReLU,0.471697,1.26707,0.132,0.133039,0.145552,0.139014
17,ReLU,0.437252,1.24924,0.144,0.137151,0.159209,0.147359
18,ReLU,0.404473,1.23594,0.136,0.135896,0.149552,0.142397
19,ReLU,0.379902,1.23362,0.148,0.139669,0.165193,0.151363
20,ReLU,0.358876,1.21056,0.14,0.140966,0.153123,0.146793
21,ReLU,0.339885,1.22558,0.152,0.154229,0.166649,0.160199
22,ReLU,0.324679,1.18397,0.136,0.136854,0.149552,0.142922
23,ReLU,0.302549,1.20733,0.152,0.154898,0.171159,0.162623
24,ReLU,0.281764,1.1708,0.16,0.153562,0.176347,0.164168
25,ReLU,0.262102,1.18287,0.152,0.152011,0.171515,0.161175
26,ReLU,0.24406,1.16091,0.16,0.155595,0.176347,0.165322
27,ReLU,0.229945,1.1682,0.156,0.159579,0.175086,0.166973
28,ReLU,0.21734,1.14992,0.16,0.156264,0.176347,0.165699
29,ReLU,0.206128,1.15835,0.156,0.164004,0.172684,0.168232
30,ReLU,0.195426,1.14197,0.16,0.157543,0.176143,0.166325
31,ReLU,0.185468,1.14873,0.152,0.157791,0.169113,0.163256
32,ReLU,0.176555,1.13446,0.156,0.15284,0.172143,0.161918
33,ReLU,0.168692,1.14412,0.16,0.16461,0.176256,0.170234
34,ReLU,0.160678,1.13027,0.156,0.162574,0.170373,0.166382
35,ReLU,0.153632,1.13885,0.16,0.168719,0.173945,0.171292
36,ReLU,0.146731,1.12665,0.156,0.162803,0.170373,0.166502
37,ReLU,0.140393,1.13421,0.16,0.169937,0.173945,0.171917
38,ReLU,0.13434,1.12381,0.156,0.163169,0.171929,0.167435
39,ReLU,0.128653,1.13045,0.156,0.169598,0.168063,0.168827
40,ReLU,0.123389,1.1209,0.156,0.167992,0.171929,0.169938
41,ReLU,0.118318,1.1287,0.156,0.175405,0.168063,0.171655
42,ReLU,0.113667,1.11877,0.156,0.16984,0.171929,0.170878
43,ReLU,0.10905,1.12626,0.16,0.178706,0.173618,0.176126
44,ReLU,0.104738,1.11738,0.152,0.170892,0.166588,0.168712
45,ReLU,0.100465,1.12413,0.16,0.176183,0.173618,0.174891
46,ReLU,0.0965993,1.11767,0.152,0.169938,0.166588,0.168246
47,ReLU,0.0927736,1.12187,0.16,0.176256,0.173618,0.174927
48,ReLU,0.0892957,1.11755,0.152,0.170953,0.166588,0.168742
49,ReLU,0.0858705,1.12083,0.156,0.174876,0.170588,0.172705
50,ReLU,0.0828798,1.11646,0.152,0.169733,0.166588,0.168146
51,ReLU,0.0798525,1.119,0.16,0.176149,0.173618,0.174874
52,ReLU,0.077159,1.1172,0.156,0.171219,0.169618,0.170415
53,ReLU,0.0744615,1.11697,0.16,0.17589,0.173618,0.174746
54,ReLU,0.0718213,1.11784,0.156,0.17046,0.169618,0.170038
55,ReLU,0.069255,1.11594,0.156,0.176188,0.169618,0.17284
56,ReLU,0.0667987,1.11768,0.156,0.171159,0.169618,0.170385
57,ReLU,0.0644938,1.11528,0.156,0.175209,0.169618,0.172368
58,ReLU,0.0623105,1.11675,0.156,0.169826,0.169618,0.169722
59,ReLU,0.0602217,1.11524,0.16,0.176574,0.173618,0.175084
60,ReLU,0.0582542,1.11564,0.156,0.172079,0.169618,0.17084
61,ReLU,0.0564386,1.11418,0.16,0.176027,0.173618,0.174814
62,ReLU,0.0546497,1.11507,0.156,0.171925,0.169618,0.170764
63,ReLU,0.0530374,1.11424,0.156,0.172316,0.168063,0.170163
64,ReLU,0.0515091,1.11448,0.152,0.167464,0.164063,0.165746
65,ReLU,0.0501021,1.11366,0.16,0.174294,0.171093,0.172678
66,ReLU,0.0487069,1.11376,0.148,0.16273,0.160063,0.161385
67,ReLU,0.0474338,1.11347,0.156,0.171755,0.167288,0.169492
68,ReLU,0.0461596,1.11377,0.156,0.16983,0.166319,0.168056
69,ReLU,0.0450308,1.11299,0.16,0.174308,0.170319,0.17229
70,ReLU,0.0439179,1.11317,0.152,0.1656,0.163093,0.164337
71,ReLU,0.0428521,1.11384,0.16,0.174211,0.170319,0.172243
72,ReLU,0.0417753,1.11347,0.156,0.170148,0.166319,0.168211
73,ReLU,0.040732,1.11353,0.16,0.174211,0.170319,0.172243
74,ReLU,0.0397764,1.1137,0.156,0.170481,0.166319,0.168374
75,ReLU,0.0387849,1.11372,0.164,0.17765,0.17389,0.17575
76,ReLU,0.0378563,1.11345,0.156,0.170342,0.166319,0.168306
77,ReLU,0.037032,1.11396,0.164,0.17765,0.17389,0.17575
78,ReLU,0.0361183,1.11412,0.16,0.174495,0.170319,0.172382
79,ReLU,0.0353124,1.11468,0.164,0.178012,0.17389,0.175927
80,ReLU,0.0345258,1.11402,0.16,0.173414,0.16989,0.171634
81,ReLU,0.0338014,1.114,0.164,0.177808,0.17389,0.175827
82,ReLU,0.0331017,1.11399,0.16,0.173414,0.16989,0.171634
83,ReLU,0.0324223,1.11441,0.16,0.173414,0.16989,0.171634
84,ReLU,0.0317814,1.11449,0.16,0.173414,0.16989,0.171634
85,ReLU,0.0311393,1.1138,0.164,0.177808,0.17389,0.175827
86,ReLU,0.0305445,1.11478,0.16,0.173238,0.16989,0.171548
87,ReLU,0.0299164,1.114,0.164,0.177017,0.17389,0.17544
88,ReLU,0.0293459,1.11473,0.16,0.172497,0.16989,0.171184
89,ReLU,0.0287691,1.11471,0.16,0.172497,0.16989,0.171184
90,ReLU,0.0282173,1.11435,0.16,0.172497,0.16989,0.171184
91,ReLU,0.0276828,1.11473,0.16,0.172497,0.16989,0.171184
92,ReLU,0.0272037,1.11436,0.164,0.175783,0.175772,0.175778
93,ReLU,0.0266924,1.11423,0.16,0.172497,0.16989,0.171184
94,ReLU,0.0262633,1.11436,0.164,0.175783,0.175772,0.175778
95,ReLU,0.025788,1.1144,0.164,0.175783,0.175772,0.175778
96,ReLU,0.0253248,1.11424,0.164,0.175783,0.175772,0.175778
97,ReLU,0.0249151,1.11404,0.164,0.175783,0.175772,0.175778
98,ReLU,0.0244603,1.11435,0.164,0.175783,0.175772,0.175778
99,ReLU,0.024024,1.11439,0.164,0.175783,0.175772,0.175778
100,ReLU,0.0235938,1.11455,0.168,0.179272,0.181328,0.180294
101,ReLU,0.0231847,1.11447,0.164,0.175885,0.175772,0.175829
102,ReLU,0.0228157,1.11458,0.168,0.179272,0.181328,0.180294
103,ReLU,0.0224684,1.11371,0.168,0.179272,0.181328,0.180294
104,ReLU,0.0221018,1.11426,0.168,0.179272,0.181328,0.180294
105,ReLU,0.0217307,1.11427,0.168,0.179272,0.181328,0.180294
106,ReLU,0.0214021,1.11436,0.168,0.179272,0.181328,0.180294
107,ReLU,0.02106,1.11407,0.168,0.179272,0.181328,0.180294
108,ReLU,0.0207114,1.11439,0.168,0.179272,0.181328,0.180294
109,ReLU,0.0203927,1.11416,0.168,0.179272,0.181328,0.180294
110,ReLU,0.0200901,1.11368,0.168,0.179272,0.181328,0.180294
111,ReLU,0.0198078,1.11435,0.168,0.178982,0.181328,0.180147
112,ReLU,0.0195292,1.11404,0.168,0.179272,0.181328,0.180294
113,ReLU,0.0192191,1.11442,0.168,0.178982,0.181328,0.180147
