epoch,activation_function,train_loss,test_loss,accuracy,precision,recall,f1_score
0,ReLU,1.4386,0.870712,0.072,nan,0.0809832,nan
1,ReLU,0.901745,0.656609,0.084,nan,0.0973445,nan
2,ReLU,0.669046,0.553148,0.092,nan,0.104037,nan
3,ReLU,0.564892,0.489801,0.112,nan,0.123959,nan
4,ReLU,0.50098,0.447398,0.112,nan,0.123407,nan
5,ReLU,0.458437,0.417399,0.112,nan,0.122856,nan
6,ReLU,0.428196,0.394846,0.116,nan,0.130548,nan
7,ReLU,0.405134,0.377094,0.112,nan,0.126977,nan
8,ReLU,0.386815,0.362219,0.12,nan,0.133578,nan
9,ReLU,0.371635,0.349701,0.116,0.22768,0.130007,0.165508
10,ReLU,0.358719,0.338848,0.112,0.222826,0.126436,0.16133
11,ReLU,0.347406,0.32936,0.116,0.223835,0.130436,0.164823
12,ReLU,0.337328,0.320954,0.112,0.222132,0.126436,0.161147
13,ReLU,0.328326,0.313435,0.116,0.22783,0.130007,0.165547
14,ReLU,0.32032,0.30684,0.112,0.224441,0.126559,0.161852
15,ReLU,0.313266,0.300996,0.112,0.207511,0.126559,0.157226
16,ReLU,0.307019,0.295819,0.116,0.222862,0.129784,0.16404
17,ReLU,0.301405,0.291191,0.124,0.240747,0.140079,0.177107
18,ReLU,0.296369,0.287011,0.128,0.244991,0.145634,0.182676
19,ReLU,0.291822,0.283202,0.128,0.244558,0.145634,0.182556
20,ReLU,0.287637,0.27974,0.128,0.209484,0.145634,0.171819
21,ReLU,0.283811,0.276719,0.132,0.20253,0.148664,0.171466
22,ReLU,0.280401,0.273915,0.132,0.202389,0.148664,0.171416
23,ReLU,0.277241,0.271375,0.136,0.211701,0.156357,0.179868
24,ReLU,0.27434,0.269048,0.14,0.218022,0.159387,0.18415
25,ReLU,0.271637,0.266926,0.144,0.201994,0.165269,0.181796
26,ReLU,0.269142,0.264974,0.144,0.209142,0.16294,0.183172
27,ReLU,0.26685,0.263178,0.144,0.211054,0.16294,0.183902
28,ReLU,0.264726,0.261512,0.14,0.205163,0.159368,0.179389
29,ReLU,0.262725,0.25995,0.14,0.204173,0.156843,0.177405
30,ReLU,0.260815,0.258486,0.148,0.212266,0.163445,0.184683
31,ReLU,0.258986,0.257144,0.152,0.213727,0.167445,0.187776
32,ReLU,0.257241,0.255836,0.152,0.213201,0.167445,0.187573
33,ReLU,0.255581,0.254627,0.152,0.197586,0.169879,0.182688
34,ReLU,0.254027,0.253524,0.152,0.185638,0.169879,0.177409
35,ReLU,0.252564,0.25251,0.152,0.189592,0.169879,0.179195
36,ReLU,0.25119,0.251546,0.152,0.186438,0.169879,0.177774
37,ReLU,0.249871,0.250633,0.156,0.188934,0.175761,0.182109
38,ReLU,0.248604,0.249773,0.152,0.183301,0.175042,0.179076
39,ReLU,0.247391,0.248973,0.152,0.183718,0.175042,0.179275
40,ReLU,0.246237,0.248226,0.152,0.183301,0.175042,0.179076
41,ReLU,0.245134,0.247539,0.148,0.177027,0.17147,0.174204
42,ReLU,0.244065,0.246861,0.148,0.179439,0.17147,0.175364
43,ReLU,0.243039,0.246248,0.148,0.180193,0.17147,0.175723
44,ReLU,0.242043,0.245626,0.152,0.183648,0.174501,0.178958
45,ReLU,0.24106,0.245033,0.152,0.183648,0.174501,0.178958
46,ReLU,0.240085,0.244434,0.152,0.183582,0.174501,0.178926
47,ReLU,0.239145,0.243873,0.152,0.183408,0.174501,0.178843
48,ReLU,0.238243,0.243313,0.152,0.182694,0.174501,0.178503
49,ReLU,0.237375,0.242815,0.152,0.182689,0.174501,0.178501
50,ReLU,0.236548,0.242291,0.152,0.181208,0.174501,0.177791
51,ReLU,0.235748,0.241794,0.144,0.174517,0.166929,0.170639
52,ReLU,0.234982,0.241301,0.152,0.182929,0.173726,0.178209
53,ReLU,0.234222,0.240824,0.152,0.182929,0.173726,0.178209
54,ReLU,0.233498,0.240402,0.148,0.171695,0.169726,0.170705
55,ReLU,0.232799,0.239956,0.144,0.167051,0.166155,0.166602
56,ReLU,0.232122,0.239563,0.144,0.165504,0.166155,0.165829
57,ReLU,0.231457,0.239172,0.144,0.165937,0.166155,0.166046
58,ReLU,0.230816,0.238814,0.148,0.16954,0.169185,0.169362
59,ReLU,0.230189,0.238409,0.148,0.168646,0.169185,0.168915
60,ReLU,0.229558,0.238023,0.144,0.162238,0.163303,0.162769
61,ReLU,0.228934,0.237715,0.144,0.162483,0.163303,0.162892
62,ReLU,0.228337,0.237359,0.144,0.162483,0.163303,0.162892
63,ReLU,0.227752,0.237041,0.148,0.167122,0.166751,0.166936
64,ReLU,0.227191,0.236757,0.144,0.156275,0.163303,0.159712
65,ReLU,0.226652,0.236448,0.144,0.156275,0.163303,0.159712
66,ReLU,0.226116,0.236149,0.148,0.161139,0.166751,0.163897
67,ReLU,0.225589,0.235868,0.148,0.160859,0.166751,0.163752
68,ReLU,0.225066,0.235647,0.14,0.149303,0.155611,0.152392
69,ReLU,0.224555,0.235375,0.14,0.149741,0.155611,0.15262
70,ReLU,0.224055,0.23512,0.144,0.152651,0.159059,0.155789
71,ReLU,0.223576,0.234864,0.14,0.14401,0.155487,0.149529
72,ReLU,0.223112,0.234606,0.14,0.145176,0.155487,0.150155
73,ReLU,0.222665,0.2344,0.14,0.144995,0.155487,0.150058
74,ReLU,0.222227,0.23416,0.14,0.145317,0.155487,0.15023
75,ReLU,0.221791,0.233924,0.136,0.139139,0.151916,0.145247
76,ReLU,0.221366,0.233689,0.144,0.143623,0.163354,0.152854
77,ReLU,0.22095,0.23349,0.144,0.143623,0.163354,0.152854
78,ReLU,0.220546,0.233252,0.144,0.143623,0.163354,0.152854
79,ReLU,0.220143,0.233019,0.144,0.142837,0.163354,0.152408
80,ReLU,0.219743,0.232808,0.144,0.142837,0.163354,0.152408
81,ReLU,0.219351,0.232639,0.144,0.142837,0.163354,0.152408
82,ReLU,0.218964,0.232449,0.144,0.143292,0.163354,0.152666
83,ReLU,0.218588,0.232258,0.144,0.141279,0.163354,0.151517
84,ReLU,0.218213,0.232088,0.144,0.141279,0.163354,0.151517
85,ReLU,0.217844,0.231917,0.144,0.141279,0.163354,0.151517
86,ReLU,0.217474,0.23175,0.152,0.147273,0.172808,0.159022
87,ReLU,0.217104,0.231607,0.152,0.148287,0.172808,0.159611
88,ReLU,0.216728,0.231429,0.152,0.148372,0.172808,0.15966
89,ReLU,0.216361,0.231266,0.148,0.144412,0.167252,0.154995
90,ReLU,0.215999,0.231104,0.148,0.144586,0.167252,0.155095
91,ReLU,0.215641,0.230952,0.148,0.145101,0.167252,0.155391
92,ReLU,0.215291,0.230826,0.148,0.145101,0.167252,0.155391
93,ReLU,0.214946,0.230671,0.148,0.144811,0.167252,0.155225
94,ReLU,0.214607,0.23052,0.148,0.144811,0.167252,0.155225
95,ReLU,0.214273,0.230376,0.152,0.147907,0.170282,0.158308
96,ReLU,0.213948,0.230232,0.152,0.146551,0.170282,0.157528
97,ReLU,0.213634,0.230095,0.152,0.146551,0.170282,0.157528
98,ReLU,0.213324,0.229993,0.152,0.146457,0.170282,0.157473
99,ReLU,0.21302,0.229844,0.152,0.1458,0.170282,0.157093
100,ReLU,0.212714,0.229726,0.152,0.147958,0.170282,0.158337
101,ReLU,0.212411,0.229618,0.152,0.148886,0.170282,0.158867
102,ReLU,0.212111,0.229501,0.152,0.149393,0.170282,0.159155
103,ReLU,0.211815,0.229396,0.152,0.149393,0.170282,0.159155
104,ReLU,0.211529,0.2293,0.156,0.151981,0.173731,0.162129
105,ReLU,0.211252,0.22918,0.16,0.160575,0.177302,0.168525
106,ReLU,0.210979,0.229066,0.16,0.159048,0.177302,0.167679
107,ReLU,0.210709,0.228964,0.164,0.160285,0.180332,0.169719
108,ReLU,0.210445,0.228869,0.164,0.160263,0.180332,0.169707
109,ReLU,0.210184,0.228763,0.164,0.16068,0.180332,0.16994
110,ReLU,0.209923,0.228666,0.164,0.160168,0.180332,0.169653
111,ReLU,0.209665,0.228568,0.164,0.160134,0.180332,0.169634
112,ReLU,0.209412,0.22849,0.164,0.160134,0.180332,0.169634
113,ReLU,0.209159,0.228382,0.164,0.159312,0.180332,0.169172
114,ReLU,0.208912,0.228304,0.164,0.159788,0.180332,0.16944
115,ReLU,0.208665,0.228223,0.164,0.159312,0.180332,0.169172
116,ReLU,0.208423,0.228122,0.164,0.159312,0.180332,0.169172
117,ReLU,0.208181,0.228059,0.164,0.159092,0.180332,0.169048
118,ReLU,0.207941,0.22797,0.164,0.158905,0.180332,0.168942
119,ReLU,0.207705,0.227919,0.164,0.158509,0.180332,0.168718
120,ReLU,0.207475,0.227834,0.164,0.158509,0.180332,0.168718
121,ReLU,0.207245,0.227788,0.164,0.158509,0.180332,0.168718
122,ReLU,0.207017,0.227708,0.156,0.150035,0.16961,0.159223
123,ReLU,0.206791,0.22766,0.156,0.149718,0.16961,0.159045
