epoch,activation_function,train_loss,test_loss,accuracy,precision,recall,f1_score
0,ReLU,0.307633,0.313796,0.076,nan,0.0929521,nan
1,ReLU,0.298528,0.305926,0.08,nan,0.0957493,nan
2,ReLU,0.291084,0.299348,0.088,nan,0.102351,nan
3,ReLU,0.284903,0.293775,0.092,nan,0.105922,nan
4,ReLU,0.279726,0.288896,0.088,nan,0.102697,nan
5,ReLU,0.275267,0.284658,0.088,nan,0.102156,nan
6,ReLU,0.271457,0.280904,0.096,nan,0.109298,nan
7,ReLU,0.2681,0.27762,0.092,nan,0.105298,nan
8,ReLU,0.265192,0.274721,0.088,nan,0.102268,nan
9,ReLU,0.262605,0.272147,0.088,nan,0.102268,nan
10,ReLU,0.260295,0.269896,0.08,nan,0.0942681,nan
11,ReLU,0.258241,0.267856,0.08,nan,0.0942681,nan
12,ReLU,0.25636,0.265977,0.084,nan,0.097644,nan
13,ReLU,0.254632,0.264231,0.08,nan,0.0899517,nan
14,ReLU,0.253036,0.262647,0.08,nan,0.0899517,nan
15,ReLU,0.25159,0.261207,0.072,nan,0.0808247,nan
16,ReLU,0.25028,0.259929,0.068,nan,0.0752692,nan
17,ReLU,0.249141,0.25877,0.068,nan,0.0752692,nan
18,ReLU,0.248123,0.257675,0.076,nan,0.083855,nan
19,ReLU,0.247159,0.256666,0.076,nan,0.083855,nan
20,ReLU,0.246275,0.255721,0.076,nan,0.083855,nan
21,ReLU,0.24545,0.254842,0.072,nan,0.0788406,nan
22,ReLU,0.244686,0.254039,0.072,nan,0.0788406,nan
23,ReLU,0.243986,0.253301,0.064,nan,0.063456,nan
24,ReLU,0.243337,0.252618,0.064,nan,0.063456,nan
25,ReLU,0.24272,0.25196,0.064,nan,0.063456,nan
26,ReLU,0.242123,0.251333,0.068,nan,0.0669043,nan
27,ReLU,0.241566,0.250741,0.064,nan,0.0633328,nan
28,ReLU,0.24105,0.2502,0.064,nan,0.0633328,nan
29,ReLU,0.24058,0.249697,0.064,nan,0.0613487,nan
