epoch,activation_function,train_loss,test_loss,accuracy,precision,recall,f1_score
0,ReLU,1.78336,1.5718,0.116,nan,0.125548,nan
1,ReLU,1.58144,1.44295,0.128,0.135699,0.130438,0.133016
2,ReLU,1.45825,1.3519,0.124,0.130796,0.113737,0.121672
3,ReLU,1.35198,1.2805,0.124,0.12674,0.115293,0.120746
4,ReLU,1.25993,1.22027,0.128,0.127567,0.118323,0.122771
5,ReLU,1.18052,1.16841,0.132,0.131796,0.122117,0.126772
6,ReLU,1.11406,1.12319,0.128,0.126973,0.118741,0.122719
7,ReLU,1.05792,1.08509,0.132,0.131214,0.121994,0.126436
8,ReLU,1.00846,1.05131,0.132,0.131759,0.121994,0.126688
9,ReLU,0.963883,1.0201,0.14,0.138555,0.131121,0.134736
10,ReLU,0.923468,0.990997,0.14,0.138295,0.133432,0.13582
11,ReLU,0.885683,0.963959,0.14,0.13852,0.133432,0.135928
12,ReLU,0.850801,0.938893,0.136,0.135316,0.12986,0.132532
13,ReLU,0.818642,0.915802,0.136,0.134873,0.12986,0.132319
14,ReLU,0.789157,0.894115,0.136,0.136793,0.12986,0.133237
15,ReLU,0.762009,0.873779,0.148,0.145268,0.140575,0.142883
16,ReLU,0.736753,0.854416,0.148,0.144856,0.140379,0.142583
17,ReLU,0.713269,0.836333,0.156,0.150434,0.147522,0.148964
18,ReLU,0.69137,0.819376,0.156,0.149896,0.147522,0.1487
19,ReLU,0.67072,0.803292,0.16,0.153483,0.150552,0.152003
20,ReLU,0.651468,0.788141,0.168,0.160519,0.160006,0.160262
21,ReLU,0.633309,0.773821,0.168,0.157751,0.160129,0.158931
22,ReLU,0.616249,0.760233,0.168,0.157638,0.160253,0.158934
23,ReLU,0.600213,0.747137,0.172,0.159471,0.165808,0.162578
24,ReLU,0.585148,0.734844,0.18,0.16918,0.17569,0.172374
25,ReLU,0.570957,0.723273,0.18,0.167358,0.177573,0.172314
26,ReLU,0.55754,0.712245,0.192,0.184176,0.192295,0.188148
27,ReLU,0.54467,0.701863,0.192,0.183697,0.192295,0.187898
28,ReLU,0.532428,0.692052,0.188,0.180658,0.188724,0.184603
29,ReLU,0.520801,0.682564,0.192,0.183365,0.19659,0.189747
30,ReLU,0.509569,0.673371,0.196,0.183663,0.202055,0.19242
31,ReLU,0.498663,0.664623,0.192,0.179317,0.196499,0.187515
32,ReLU,0.488231,0.656295,0.188,0.175965,0.190944,0.183149
33,ReLU,0.478194,0.648315,0.188,0.175899,0.190944,0.183113
34,ReLU,0.468496,0.64056,0.192,0.181066,0.194392,0.187493
35,ReLU,0.459213,0.633108,0.192,0.181144,0.194392,0.187534
36,ReLU,0.450291,0.62586,0.192,0.18193,0.194392,0.187954
37,ReLU,0.441669,0.618853,0.196,0.183842,0.197422,0.19039
38,ReLU,0.433405,0.612118,0.2,0.186948,0.200994,0.193717
39,ReLU,0.425468,0.605472,0.2,0.185909,0.200994,0.193157
40,ReLU,0.417884,0.599112,0.2,0.185449,0.200994,0.192908
41,ReLU,0.410616,0.593002,0.204,0.190988,0.20422,0.197382
42,ReLU,0.403585,0.587022,0.212,0.198422,0.211017,0.204525
43,ReLU,0.396788,0.581225,0.216,0.203547,0.216572,0.209858
44,ReLU,0.390238,0.575639,0.216,0.203547,0.216572,0.209858
45,ReLU,0.383888,0.57024,0.216,0.203547,0.216572,0.209858
46,ReLU,0.377725,0.56496,0.212,0.200565,0.213001,0.206596
47,ReLU,0.371792,0.55996,0.212,0.200562,0.213001,0.206594
48,ReLU,0.366122,0.555167,0.22,0.208066,0.219798,0.213771
49,ReLU,0.360608,0.550563,0.22,0.207783,0.219798,0.213622
50,ReLU,0.355271,0.546106,0.22,0.20649,0.219798,0.212937
51,ReLU,0.35012,0.5418,0.216,0.202336,0.214243,0.208119
52,ReLU,0.345141,0.537557,0.216,0.202336,0.214243,0.208119
53,ReLU,0.340332,0.533538,0.216,0.203077,0.214243,0.20851
54,ReLU,0.335642,0.529566,0.22,0.207494,0.217814,0.212529
55,ReLU,0.331128,0.525754,0.224,0.213,0.221262,0.217053
56,ReLU,0.326765,0.522018,0.224,0.214769,0.221262,0.217968
57,ReLU,0.322521,0.518437,0.224,0.215027,0.221262,0.2181
58,ReLU,0.31842,0.51494,0.224,0.214761,0.221262,0.217963
59,ReLU,0.314458,0.511558,0.224,0.213823,0.221262,0.217479
60,ReLU,0.310586,0.508188,0.22,0.212007,0.215707,0.213841
61,ReLU,0.306805,0.505019,0.216,0.207393,0.211707,0.209528
62,ReLU,0.30313,0.501926,0.216,0.207393,0.211707,0.209528
63,ReLU,0.299535,0.498863,0.216,0.207393,0.211707,0.209528
64,ReLU,0.295996,0.495955,0.216,0.20721,0.211707,0.209434
65,ReLU,0.292569,0.493112,0.216,0.20721,0.211707,0.209434
66,ReLU,0.289284,0.490348,0.22,0.214921,0.215278,0.215099
67,ReLU,0.286078,0.487703,0.224,0.218247,0.218504,0.218375
68,ReLU,0.282954,0.485115,0.224,0.218247,0.218504,0.218375
69,ReLU,0.27991,0.482674,0.236,0.228579,0.230538,0.229555
70,ReLU,0.276942,0.48023,0.24,0.232048,0.23642,0.234214
71,ReLU,0.274034,0.477891,0.232,0.225375,0.227639,0.226502
72,ReLU,0.271186,0.47564,0.232,0.225375,0.227639,0.226502
73,ReLU,0.268414,0.47342,0.232,0.225596,0.227639,0.226613
74,ReLU,0.265713,0.471222,0.232,0.222166,0.227639,0.224869
75,ReLU,0.26308,0.46902,0.232,0.222166,0.227639,0.224869
76,ReLU,0.26051,0.466964,0.24,0.230318,0.235211,0.232739
77,ReLU,0.258029,0.464952,0.24,0.230974,0.234865,0.232903
