epoch,activation_function,train_loss,test_loss,accuracy,precision,recall,f1_score
0,ReLU,1.04884,0.86088,0.092,nan,0.10386,nan
1,ReLU,0.827713,0.726024,0.088,nan,0.0988905,nan
2,ReLU,0.69266,0.637336,0.08,nan,0.0927728,nan
3,ReLU,0.604017,0.575641,0.088,nan,0.108837,nan
4,ReLU,0.542088,0.530088,0.092,nan,0.111867,nan
5,ReLU,0.497253,0.494431,0.088,nan,0.107867,nan
6,ReLU,0.46388,0.466261,0.096,nan,0.11501,nan
7,ReLU,0.437553,0.443337,0.096,nan,0.114582,nan
8,ReLU,0.416247,0.424139,0.092,nan,0.111123,nan
9,ReLU,0.398521,0.407489,0.104,nan,0.127728,nan
10,ReLU,0.383118,0.39321,0.104,nan,0.127923,nan
11,ReLU,0.369603,0.380735,0.096,nan,0.120893,nan
12,ReLU,0.357947,0.369764,0.092,nan,0.117321,nan
13,ReLU,0.347868,0.359986,0.088,nan,0.11375,nan
14,ReLU,0.339052,0.351139,0.088,nan,0.11375,nan
15,ReLU,0.330999,0.343091,0.08,nan,0.103868,nan
16,ReLU,0.323768,0.335743,0.08,nan,0.103093,nan
17,ReLU,0.317187,0.32912,0.084,nan,0.106665,nan
18,ReLU,0.311364,0.3233,0.088,nan,0.109891,nan
19,ReLU,0.306224,0.31812,0.084,nan,0.101853,nan
20,ReLU,0.301599,0.313352,0.084,nan,0.101853,nan
21,ReLU,0.29739,0.308954,0.088,nan,0.105424,nan
22,ReLU,0.293566,0.30491,0.092,nan,0.108996,nan
23,ReLU,0.290058,0.301242,0.088,nan,0.104996,nan
24,ReLU,0.286827,0.297876,0.088,nan,0.104996,nan
25,ReLU,0.283892,0.29473,0.084,nan,0.101965,nan
26,ReLU,0.281108,0.291882,0.084,nan,0.101965,nan
27,ReLU,0.278536,0.289216,0.1,nan,0.114823,nan
28,ReLU,0.276155,0.286717,0.104,nan,0.118049,nan
29,ReLU,0.273964,0.284375,0.1,nan,0.114478,nan
30,ReLU,0.271902,0.28213,0.096,nan,0.111447,nan
31,ReLU,0.269941,0.280003,0.108,nan,0.1238,nan
32,ReLU,0.268113,0.278031,0.112,nan,0.12683,nan
33,ReLU,0.266417,0.276229,0.108,nan,0.123259,nan
34,ReLU,0.264853,0.274564,0.112,nan,0.126289,nan
35,ReLU,0.263416,0.273029,0.116,nan,0.12932,nan
36,ReLU,0.262093,0.271607,0.112,nan,0.125748,nan
37,ReLU,0.260842,0.270269,0.116,nan,0.128778,nan
38,ReLU,0.259648,0.269044,0.116,nan,0.128778,nan
39,ReLU,0.25853,0.267905,0.12,nan,0.132004,nan
40,ReLU,0.257489,0.266822,0.116,nan,0.123597,nan
41,ReLU,0.256517,0.265797,0.12,nan,0.126627,nan
42,ReLU,0.255607,0.264848,0.12,nan,0.126627,nan
43,ReLU,0.254755,0.263953,0.116,nan,0.123401,nan
44,ReLU,0.253952,0.263135,0.124,nan,0.129853,nan
45,ReLU,0.253197,0.262352,0.12,nan,0.126627,nan
46,ReLU,0.252469,0.261608,0.12,nan,0.126627,nan
47,ReLU,0.251767,0.26089,0.12,nan,0.126627,nan
48,ReLU,0.251081,0.260201,0.124,nan,0.132509,nan
49,ReLU,0.250419,0.259529,0.128,nan,0.13554,nan
50,ReLU,0.249779,0.258891,0.124,nan,0.13154,nan
51,ReLU,0.249159,0.258272,0.124,nan,0.13154,nan
52,ReLU,0.24856,0.257673,0.12,nan,0.123847,nan
53,ReLU,0.247978,0.257095,0.124,nan,0.122216,nan
54,ReLU,0.24742,0.256548,0.12,nan,0.116333,nan
55,ReLU,0.246878,0.256001,0.124,nan,0.122216,nan
56,ReLU,0.246334,0.255468,0.12,nan,0.114523,nan
57,ReLU,0.24581,0.254971,0.12,nan,0.114523,nan
58,ReLU,0.245311,0.254474,0.124,nan,0.120406,nan
59,ReLU,0.24482,0.25397,0.124,nan,0.120406,nan
60,ReLU,0.244338,0.253462,0.124,nan,0.120406,nan
61,ReLU,0.24386,0.252971,0.136,nan,0.132544,nan
62,ReLU,0.243396,0.252498,0.136,nan,0.130734,nan
63,ReLU,0.242942,0.252031,0.136,nan,0.130734,nan
64,ReLU,0.242495,0.251579,0.14,nan,0.133764,nan
65,ReLU,0.242057,0.251144,0.136,nan,0.130734,nan
66,ReLU,0.241628,0.25071,0.136,nan,0.130734,nan
67,ReLU,0.2412,0.250291,0.132,nan,0.127508,nan
68,ReLU,0.240785,0.249888,0.136,nan,0.130734,nan
69,ReLU,0.240387,0.249502,0.136,nan,0.130734,nan
70,ReLU,0.240003,0.249134,0.136,nan,0.130388,nan
71,ReLU,0.239629,0.248776,0.136,nan,0.130388,nan
72,ReLU,0.239263,0.248429,0.136,nan,0.130388,nan
73,ReLU,0.238905,0.2481,0.14,nan,0.133614,nan
74,ReLU,0.238558,0.247784,0.14,nan,0.133614,nan
75,ReLU,0.238223,0.247478,0.14,nan,0.133614,nan
76,ReLU,0.237894,0.247169,0.14,nan,0.133614,nan
77,ReLU,0.237566,0.24687,0.14,nan,0.133614,nan
78,ReLU,0.237248,0.246582,0.14,nan,0.133614,nan
79,ReLU,0.23694,0.246301,0.14,nan,0.133614,nan
80,ReLU,0.23664,0.246026,0.14,nan,0.133614,nan
81,ReLU,0.236347,0.24576,0.14,nan,0.133614,nan
82,ReLU,0.236068,0.245517,0.136,nan,0.130043,nan
83,ReLU,0.235799,0.245282,0.136,nan,0.130043,nan
84,ReLU,0.235535,0.245057,0.14,nan,0.133073,nan
85,ReLU,0.235279,0.244843,0.14,nan,0.133073,nan
86,ReLU,0.235029,0.24463,0.14,nan,0.133073,nan
87,ReLU,0.234785,0.244426,0.144,nan,0.136299,nan
88,ReLU,0.234546,0.244222,0.144,nan,0.136299,nan
89,ReLU,0.234315,0.244019,0.144,nan,0.136299,nan
90,ReLU,0.234091,0.243817,0.144,nan,0.136299,nan
91,ReLU,0.23387,0.243624,0.148,nan,0.139329,nan
92,ReLU,0.233654,0.243438,0.148,nan,0.139329,nan
93,ReLU,0.233442,0.243256,0.148,nan,0.139329,nan
94,ReLU,0.233235,0.243077,0.148,nan,0.139329,nan
95,ReLU,0.23303,0.242901,0.152,nan,0.142555,nan
96,ReLU,0.232828,0.242732,0.152,nan,0.142555,nan
97,ReLU,0.232631,0.242573,0.152,nan,0.142555,nan
