epoch,activation_function,train_loss,test_loss,accuracy,precision,recall,f1_score
0,ReLU,2.03944,1.93716,0.08,nan,0.0783819,nan
1,ReLU,1.93221,1.88774,0.1,nan,0.0906558,nan
2,ReLU,1.85163,1.84896,0.116,nan,0.105806,nan
3,ReLU,1.79102,1.81104,0.1,nan,0.0866251,nan
4,ReLU,1.73831,1.77422,0.1,nan,0.0866251,nan
5,ReLU,1.68908,1.73373,0.096,0.109485,0.08657,0.0966885
6,ReLU,1.64045,1.69247,0.1,0.111918,0.0901414,0.0998563
7,ReLU,1.59114,1.65049,0.108,0.120377,0.0971611,0.10753
8,ReLU,1.54291,1.60943,0.124,0.143819,0.115404,0.128054
9,ReLU,1.49888,1.57414,0.144,0.161803,0.139326,0.149726
10,ReLU,1.45799,1.54115,0.148,0.168444,0.142552,0.15442
11,ReLU,1.42016,1.51166,0.156,0.184256,0.158438,0.170374
12,ReLU,1.38661,1.48596,0.156,0.179319,0.158438,0.168233
13,ReLU,1.35463,1.4633,0.164,0.184653,0.170203,0.177133
14,ReLU,1.32372,1.44286,0.164,0.183478,0.170203,0.176591
15,ReLU,1.29387,1.42379,0.172,0.190008,0.181967,0.1859
16,ReLU,1.26475,1.4058,0.172,0.190852,0.181967,0.186304
17,ReLU,1.23673,1.38866,0.176,0.194606,0.187523,0.190999
18,ReLU,1.21001,1.37149,0.18,0.197181,0.191094,0.19409
19,ReLU,1.1843,1.35488,0.18,0.200206,0.191094,0.195544
20,ReLU,1.15954,1.33914,0.18,0.200668,0.191094,0.195764
21,ReLU,1.13578,1.32428,0.196,0.221175,0.205144,0.212858
22,ReLU,1.11292,1.31053,0.196,0.215989,0.205144,0.210427
23,ReLU,1.09096,1.2979,0.196,0.214593,0.207801,0.211142
24,ReLU,1.0699,1.28649,0.2,0.216476,0.211249,0.21383
25,ReLU,1.04976,1.27631,0.216,0.233492,0.231099,0.232289
26,ReLU,1.03029,1.26698,0.216,0.234321,0.231099,0.232699
27,ReLU,1.01146,1.25831,0.224,0.239268,0.240552,0.239909
28,ReLU,0.993302,1.25025,0.232,0.24406,0.250006,0.246998
29,ReLU,0.97581,1.24263,0.232,0.247768,0.250006,0.248882
30,ReLU,0.958925,1.23536,0.232,0.247568,0.250435,0.248993
31,ReLU,0.942622,1.22836,0.236,0.251171,0.254435,0.252792
32,ReLU,0.926804,1.22168,0.24,0.254484,0.257465,0.255966
33,ReLU,0.911421,1.21524,0.24,0.254097,0.257465,0.25577
34,ReLU,0.896386,1.20897,0.24,0.254462,0.257465,0.255955
35,ReLU,0.881634,1.20289,0.236,0.251624,0.251583,0.251603
36,ReLU,0.867197,1.19699,0.24,0.261273,0.255154,0.258177
37,ReLU,0.853053,1.19137,0.24,0.261273,0.255154,0.258177
38,ReLU,0.839192,1.1859,0.244,0.266304,0.262846,0.264564
39,ReLU,0.825628,1.18062,0.248,0.269474,0.266846,0.268154
40,ReLU,0.812351,1.17547,0.248,0.269721,0.266846,0.268276
41,ReLU,0.799326,1.17038,0.252,0.275256,0.269877,0.27254
42,ReLU,0.786518,1.16548,0.26,0.282733,0.276478,0.279571
43,ReLU,0.773875,1.16077,0.268,0.290241,0.286034,0.288122
44,ReLU,0.761392,1.15622,0.272,0.298006,0.29159,0.294763
45,ReLU,0.749073,1.15181,0.272,0.297448,0.29159,0.29449
46,ReLU,0.736949,1.14751,0.276,0.303169,0.295161,0.299112
47,ReLU,0.725023,1.14331,0.276,0.303169,0.295161,0.299112
48,ReLU,0.713329,1.13929,0.276,0.303185,0.295161,0.299119
49,ReLU,0.70183,1.13534,0.28,0.308161,0.298732,0.303373
50,ReLU,0.690551,1.13156,0.284,0.310867,0.301763,0.306247
51,ReLU,0.679448,1.12782,0.288,0.315437,0.304989,0.310125
52,ReLU,0.668554,1.1242,0.288,0.31481,0.304989,0.309821
53,ReLU,0.657815,1.12065,0.288,0.31481,0.304989,0.309821
54,ReLU,0.647271,1.11715,0.288,0.314872,0.304989,0.309851
55,ReLU,0.636916,1.11378,0.288,0.314872,0.304989,0.309851
