epoch,activation_function,train_loss,test_loss,accuracy,precision,recall,f1_score
0,ReLU,2.27912,2.27929,0.076,0.0680975,0.084637,0.0754717
1,ReLU,2.19421,2.20111,0.08,0.0862382,0.0880129,0.0871165
2,ReLU,2.11997,2.12556,0.084,0.0928033,0.0913888,0.0920906
3,ReLU,2.03531,2.05785,0.104,0.114055,0.110322,0.112158
4,ReLU,1.95946,1.99449,0.112,0.114375,0.12176,0.117952
5,ReLU,1.89539,1.93782,0.124,0.128112,0.134244,0.131106
6,ReLU,1.83126,1.90008,0.136,0.14069,0.146728,0.143646
7,ReLU,1.7813,1.86308,0.144,0.148517,0.155641,0.151996
8,ReLU,1.73653,1.83115,0.152,0.158134,0.161701,0.159898
9,ReLU,1.69663,1.8002,0.16,0.160774,0.173466,0.166879
10,ReLU,1.65862,1.77708,0.168,0.170444,0.182797,0.176404
11,ReLU,1.62524,1.74997,0.172,0.172925,0.186368,0.179395
12,ReLU,1.59135,1.73251,0.176,0.182652,0.189816,0.186165
13,ReLU,1.56158,1.70877,0.192,0.192069,0.205872,0.198731
14,ReLU,1.52868,1.69549,0.196,0.197089,0.211427,0.204007
15,ReLU,1.49937,1.67448,0.2,0.198759,0.211606,0.204982
16,ReLU,1.46523,1.66361,0.2,0.204552,0.212147,0.20828
17,ReLU,1.43717,1.64434,0.208,0.20745,0.22061,0.213828
18,ReLU,1.40421,1.63384,0.204,0.204551,0.217579,0.210864
19,ReLU,1.37771,1.61752,0.208,0.206112,0.22061,0.213114
20,ReLU,1.3469,1.60692,0.208,0.207625,0.223135,0.215101
21,ReLU,1.3206,1.59435,0.212,0.212832,0.226706,0.21955
22,ReLU,1.29132,1.58367,0.212,0.211141,0.222044,0.216456
23,ReLU,1.2662,1.57263,0.208,0.205144,0.214352,0.209647
24,ReLU,1.23856,1.56267,0.22,0.220809,0.225923,0.223337
25,ReLU,1.21497,1.55413,0.224,0.225057,0.228954,0.226989
26,ReLU,1.18798,1.54345,0.224,0.223966,0.228954,0.226433
27,ReLU,1.16559,1.5373,0.232,0.231875,0.235973,0.233906
28,ReLU,1.13914,1.52603,0.248,0.242836,0.248708,0.245737
29,ReLU,1.11753,1.52222,0.24,0.236679,0.242452,0.239531
30,ReLU,1.09232,1.51017,0.256,0.247401,0.257294,0.252251
31,ReLU,1.07161,1.50878,0.248,0.244541,0.248708,0.246607
32,ReLU,1.04778,1.49513,0.256,0.249373,0.257294,0.253272
33,ReLU,1.02784,1.49647,0.256,0.252993,0.255851,0.254414
34,ReLU,1.00517,1.48087,0.256,0.248952,0.257294,0.253054
35,ReLU,0.986595,1.48558,0.264,0.260805,0.264978,0.262875
36,ReLU,0.965266,1.4679,0.26,0.252645,0.260865,0.256689
37,ReLU,0.947719,1.47545,0.256,0.257928,0.258722,0.258324
38,ReLU,0.926808,1.45587,0.26,0.25352,0.260865,0.25714
39,ReLU,0.909807,1.46553,0.26,0.259118,0.262293,0.260696
40,ReLU,0.889428,1.44424,0.26,0.254916,0.261211,0.258025
41,ReLU,0.872823,1.45556,0.26,0.258984,0.262293,0.260628
42,ReLU,0.853452,1.43338,0.264,0.257307,0.264241,0.260728
43,ReLU,0.837403,1.44659,0.26,0.260577,0.262293,0.261432
44,ReLU,0.819922,1.42298,0.264,0.258001,0.264241,0.261084
45,ReLU,0.80432,1.43795,0.256,0.25487,0.259067,0.256952
46,ReLU,0.788496,1.4131,0.26,0.254301,0.261211,0.25771
47,ReLU,0.772882,1.4291,0.256,0.254374,0.259067,0.256699
48,ReLU,0.757667,1.40428,0.26,0.253594,0.261211,0.257346
49,ReLU,0.742699,1.42019,0.256,0.252745,0.259067,0.255867
50,ReLU,0.727813,1.39591,0.264,0.255586,0.264782,0.260103
51,ReLU,0.713826,1.41172,0.264,0.260247,0.267653,0.263898
52,ReLU,0.699668,1.38817,0.264,0.258371,0.264782,0.261538
53,ReLU,0.686234,1.40368,0.264,0.26383,0.263532,0.263681
54,ReLU,0.673014,1.38075,0.268,0.264197,0.272475,0.268272
55,ReLU,0.660011,1.39619,0.264,0.26383,0.263532,0.263681
56,ReLU,0.64797,1.37379,0.268,0.264494,0.272475,0.268425
57,ReLU,0.635374,1.38928,0.272,0.268449,0.270429,0.269435
58,ReLU,0.624203,1.36759,0.276,0.271761,0.280046,0.275842
59,ReLU,0.612009,1.38241,0.272,0.267795,0.270429,0.269105
60,ReLU,0.601403,1.36225,0.272,0.267475,0.27682,0.272068
61,ReLU,0.589626,1.37561,0.276,0.274796,0.278121,0.276449
62,ReLU,0.57936,1.35722,0.276,0.272613,0.280392,0.276447
63,ReLU,0.568181,1.3689,0.268,0.266493,0.271447,0.268947
64,ReLU,0.558315,1.35205,0.272,0.268496,0.273669,0.271058
65,ReLU,0.547768,1.36267,0.264,0.262336,0.267876,0.265077
66,ReLU,0.538298,1.34658,0.276,0.271758,0.277117,0.274411
67,ReLU,0.528523,1.35712,0.26,0.257535,0.26232,0.259905
68,ReLU,0.519493,1.34084,0.28,0.282909,0.280689,0.281795
69,ReLU,0.510641,1.35191,0.268,0.268794,0.269892,0.269342
70,ReLU,0.501998,1.33502,0.28,0.283719,0.280689,0.282196
71,ReLU,0.493911,1.34718,0.272,0.277403,0.273892,0.275636
72,ReLU,0.485486,1.3293,0.28,0.283641,0.280689,0.282157
73,ReLU,0.477921,1.34249,0.276,0.28023,0.277463,0.27884
74,ReLU,0.469596,1.32354,0.28,0.283973,0.28123,0.282595
75,ReLU,0.462432,1.33779,0.272,0.277121,0.274433,0.27577
76,ReLU,0.454151,1.31834,0.28,0.283973,0.28123,0.282595
77,ReLU,0.447379,1.33287,0.272,0.276779,0.274433,0.275601
78,ReLU,0.439092,1.31341,0.28,0.283222,0.28123,0.282223
79,ReLU,0.432609,1.32783,0.268,0.27396,0.26855,0.271228
