epoch,activation_function,train_loss,test_loss,accuracy,precision,recall,f1_score
0,ReLU,1.6186,1.55683,0.08,nan,0.0677777,nan
1,ReLU,1.51825,1.46424,0.076,nan,0.0643294,nan
2,ReLU,1.43091,1.38511,0.076,nan,0.0643294,nan
3,ReLU,1.35449,1.31772,0.072,0.0668428,0.0610043,0.0637902
4,ReLU,1.28756,1.26082,0.068,0.0706993,0.0572612,0.0632746
5,ReLU,1.22969,1.2112,0.072,0.0662373,0.0608326,0.06342
6,ReLU,1.17928,1.16903,0.076,0.0727198,0.0670606,0.0697757
7,ReLU,1.1353,1.13323,0.08,0.0782866,0.072943,0.0755204
8,ReLU,1.09676,1.1019,0.08,0.0774488,0.075377,0.0763988
9,ReLU,1.06158,1.07396,0.084,0.0868278,0.0820336,0.0843626
10,ReLU,1.02885,1.04844,0.088,0.0885454,0.0850639,0.0867697
11,ReLU,0.99796,1.02466,0.1,0.106672,0.0976711,0.101973
12,ReLU,0.968766,1.00247,0.104,0.11332,0.101671,0.10718
13,ReLU,0.941185,0.981747,0.108,0.114942,0.104701,0.109583
14,ReLU,0.915114,0.962223,0.112,0.115579,0.110584,0.113026
15,ReLU,0.890539,0.943709,0.112,0.115211,0.113436,0.114317
16,ReLU,0.867194,0.926208,0.108,0.110261,0.11021,0.110235
17,ReLU,0.844851,0.909683,0.104,0.105157,0.106221,0.105686
18,ReLU,0.823517,0.893777,0.108,0.108918,0.109792,0.109353
19,ReLU,0.802963,0.878494,0.108,0.107966,0.109792,0.108871
20,ReLU,0.783263,0.863784,0.112,0.110869,0.115674,0.113221
21,ReLU,0.764414,0.849575,0.116,0.115477,0.118705,0.117069
22,ReLU,0.746406,0.835842,0.12,0.119421,0.122276,0.120832
23,ReLU,0.72921,0.822523,0.12,0.118387,0.122276,0.1203
24,ReLU,0.712762,0.809546,0.12,0.117237,0.122054,0.119597
25,ReLU,0.69703,0.796903,0.116,0.11374,0.119023,0.116322
26,ReLU,0.682035,0.784516,0.116,0.11374,0.119023,0.116322
27,ReLU,0.667666,0.772406,0.112,0.110082,0.115452,0.112703
28,ReLU,0.653919,0.760601,0.112,0.109514,0.115452,0.112404
29,ReLU,0.640685,0.749066,0.112,0.108203,0.115452,0.11171
