epoch,activation_function,train_loss,test_loss,accuracy,precision,recall,f1_score
0,ReLU,2.38789,2.2103,0.116,nan,0.115621,nan
1,ReLU,2.20054,2.20046,0.1,nan,0.100453,nan
2,ReLU,2.09669,2.15889,0.12,0.0591177,0.117019,0.0785513
3,ReLU,2.05516,2.02785,0.116,0.105083,0.140793,0.120345
4,ReLU,1.80274,1.6546,0.208,0.206859,0.202276,0.204542
5,ReLU,1.61613,1.69453,0.156,0.153413,0.163162,0.158138
6,ReLU,1.46165,1.56564,0.192,0.18626,0.193036,0.189588
7,ReLU,1.28255,1.5685,0.192,0.20287,0.202678,0.202774
8,ReLU,1.18,1.51531,0.18,0.172631,0.187107,0.179578
9,ReLU,1.0871,1.51578,0.176,0.197993,0.184813,0.191176
10,ReLU,1.02419,1.49691,0.18,0.172505,0.187208,0.179556
11,ReLU,0.96384,1.47002,0.176,0.195499,0.18469,0.189941
12,ReLU,0.930681,1.51036,0.2,0.208116,0.207871,0.207994
13,ReLU,0.888286,1.42028,0.172,0.185211,0.177456,0.18125
14,ReLU,0.821672,1.43162,0.188,0.183787,0.191943,0.187776
15,ReLU,0.779915,1.4054,0.176,0.203381,0.185995,0.1943
16,ReLU,0.74361,1.42245,0.192,0.190752,0.199759,0.195152
17,ReLU,0.724172,1.39126,0.184,0.200464,0.192021,0.196152
18,ReLU,0.695201,1.37204,0.192,0.187503,0.195525,0.19143
19,ReLU,0.642104,1.36992,0.192,0.217023,0.201148,0.208784
20,ReLU,0.618001,1.32424,0.204,0.197484,0.209949,0.203525
21,ReLU,0.565405,1.34592,0.18,0.201156,0.19249,0.196727
22,ReLU,0.547765,1.29617,0.208,0.203685,0.213938,0.208686
23,ReLU,0.5299,1.35315,0.18,0.202808,0.19249,0.197515
24,ReLU,0.51685,1.29254,0.204,0.195508,0.20823,0.201668
25,ReLU,0.518142,1.33364,0.176,0.194291,0.191957,0.193117
26,ReLU,0.464008,1.26517,0.204,0.201835,0.213219,0.207371
27,ReLU,0.431552,1.30243,0.176,0.197766,0.193941,0.195835
28,ReLU,0.403742,1.24798,0.212,0.210322,0.220166,0.215131
29,ReLU,0.374548,1.27687,0.18,0.202356,0.199028,0.200678
30,ReLU,0.356027,1.23463,0.192,0.195645,0.198994,0.197305
31,ReLU,0.333469,1.25652,0.188,0.214268,0.203871,0.20894
32,ReLU,0.319769,1.22708,0.192,0.200673,0.197101,0.198871
33,ReLU,0.303455,1.23758,0.184,0.20109,0.20261,0.201847
34,ReLU,0.289746,1.22478,0.196,0.209914,0.200796,0.205254
35,ReLU,0.278385,1.22021,0.18,0.189226,0.196492,0.192791
36,ReLU,0.266925,1.22148,0.204,0.226274,0.209923,0.217792
37,ReLU,0.252621,1.20872,0.18,0.184971,0.192371,0.188599
38,ReLU,0.23986,1.21488,0.2,0.21732,0.206351,0.211694
39,ReLU,0.223105,1.19803,0.184,0.189296,0.195943,0.192562
40,ReLU,0.21153,1.20501,0.196,0.210767,0.20278,0.206696
41,ReLU,0.199344,1.1913,0.18,0.185781,0.192913,0.18928
42,ReLU,0.190278,1.19627,0.192,0.204477,0.199209,0.201808
43,ReLU,0.181274,1.18636,0.188,0.198075,0.197621,0.197848
44,ReLU,0.174353,1.18879,0.196,0.211268,0.204764,0.207965
45,ReLU,0.16705,1.18429,0.192,0.202657,0.199209,0.200918
46,ReLU,0.161132,1.17964,0.196,0.211216,0.204764,0.20794
47,ReLU,0.154663,1.18089,0.192,0.203061,0.199209,0.201116
48,ReLU,0.149308,1.17234,0.188,0.198952,0.197621,0.198284
49,ReLU,0.142862,1.17688,0.192,0.204385,0.199209,0.201763
50,ReLU,0.137344,1.16643,0.188,0.19563,0.19805,0.196833
51,ReLU,0.130959,1.17303,0.192,0.204211,0.199209,0.201679
52,ReLU,0.125847,1.16273,0.192,0.199386,0.201621,0.200497
53,ReLU,0.120659,1.16817,0.2,0.214051,0.212783,0.213415
54,ReLU,0.115974,1.16035,0.196,0.203781,0.205193,0.204484
55,ReLU,0.111697,1.16469,0.196,0.209267,0.209212,0.20924
56,ReLU,0.107557,1.15711,0.196,0.204518,0.205193,0.204855
57,ReLU,0.103675,1.1618,0.196,0.210985,0.209212,0.210095
58,ReLU,0.0997585,1.15503,0.196,0.207308,0.205193,0.206245
59,ReLU,0.0960915,1.15882,0.196,0.211334,0.209212,0.210268
60,ReLU,0.0924996,1.15274,0.196,0.208187,0.205193,0.206679
61,ReLU,0.0891987,1.15605,0.192,0.20699,0.20333,0.205143
62,ReLU,0.0860506,1.1511,0.196,0.208524,0.205193,0.206845
63,ReLU,0.0830815,1.15351,0.196,0.210348,0.208885,0.209614
64,ReLU,0.0802454,1.14922,0.192,0.205115,0.201193,0.203135
65,ReLU,0.0775851,1.15125,0.196,0.210011,0.208885,0.209447
66,ReLU,0.0749978,1.14801,0.192,0.205006,0.201193,0.203081
67,ReLU,0.0725099,1.14933,0.192,0.205679,0.201193,0.203411
68,ReLU,0.0701305,1.1465,0.188,0.200145,0.19531,0.197698
69,ReLU,0.0678407,1.14705,0.188,0.200254,0.19531,0.197751
70,ReLU,0.0656572,1.14506,0.188,0.199946,0.19531,0.197601
71,ReLU,0.0635283,1.1458,0.196,0.208455,0.206033,0.207237
72,ReLU,0.061516,1.14394,0.192,0.203422,0.198341,0.200849
73,ReLU,0.0595784,1.14412,0.192,0.203505,0.198341,0.20089
74,ReLU,0.0577081,1.14297,0.192,0.203422,0.198341,0.200849
75,ReLU,0.0558932,1.14308,0.196,0.208455,0.206033,0.207237
76,ReLU,0.0541602,1.14144,0.192,0.203505,0.198341,0.20089
77,ReLU,0.0524282,1.14165,0.196,0.208455,0.206033,0.207237
78,ReLU,0.0508022,1.14032,0.196,0.207674,0.201912,0.204752
79,ReLU,0.0492328,1.14073,0.2,0.212797,0.209604,0.211189
80,ReLU,0.0476914,1.13952,0.2,0.210839,0.205484,0.208127
81,ReLU,0.0462243,1.14003,0.204,0.216069,0.213176,0.214613
82,ReLU,0.0448152,1.13908,0.2,0.211213,0.205484,0.208309
83,ReLU,0.0434476,1.13899,0.204,0.21627,0.213176,0.214712
84,ReLU,0.0421442,1.13825,0.204,0.21627,0.213176,0.214712
85,ReLU,0.0408672,1.13779,0.208,0.219668,0.219058,0.219363
86,ReLU,0.0396397,1.13771,0.208,0.219668,0.219058,0.219363
87,ReLU,0.0384536,1.13725,0.208,0.219668,0.219058,0.219363
88,ReLU,0.037308,1.13697,0.208,0.219668,0.219058,0.219363
89,ReLU,0.0361712,1.13687,0.208,0.22003,0.219058,0.219543
90,ReLU,0.0350911,1.13616,0.208,0.22003,0.219058,0.219543
91,ReLU,0.0340308,1.13595,0.208,0.22003,0.219058,0.219543
92,ReLU,0.0330054,1.13583,0.208,0.22003,0.219058,0.219543
93,ReLU,0.0320187,1.1356,0.208,0.220185,0.219058,0.21962
94,ReLU,0.0310952,1.13552,0.208,0.220185,0.219058,0.21962
95,ReLU,0.0301899,1.1354,0.208,0.220185,0.219058,0.21962
96,ReLU,0.0293164,1.13536,0.208,0.220616,0.219058,0.219835
97,ReLU,0.0284991,1.13509,0.208,0.22068,0.219058,0.219866
98,ReLU,0.0276999,1.13493,0.204,0.215902,0.215832,0.215867
99,ReLU,0.0269345,1.13491,0.204,0.215902,0.215832,0.215867
100,ReLU,0.0261962,1.13459,0.204,0.215902,0.215832,0.215867
101,ReLU,0.025488,1.13424,0.204,0.215902,0.215832,0.215867
102,ReLU,0.0247966,1.13452,0.204,0.215902,0.215832,0.215867
103,ReLU,0.0241186,1.13416,0.204,0.215902,0.215832,0.215867
104,ReLU,0.0234749,1.13415,0.204,0.213989,0.215832,0.214907
105,ReLU,0.0228499,1.13389,0.204,0.213989,0.215832,0.214907
106,ReLU,0.0222518,1.13404,0.204,0.213989,0.215832,0.214907
107,ReLU,0.0216893,1.13345,0.204,0.213989,0.215832,0.214907
108,ReLU,0.0211332,1.13341,0.204,0.213989,0.215832,0.214907
109,ReLU,0.0206081,1.13326,0.204,0.213989,0.215832,0.214907
110,ReLU,0.0200946,1.13303,0.204,0.213989,0.215832,0.214907
111,ReLU,0.0196128,1.13308,0.204,0.213989,0.215832,0.214907
112,ReLU,0.019145,1.13279,0.204,0.213989,0.215832,0.214907
113,ReLU,0.0186977,1.13278,0.204,0.213989,0.215832,0.214907
114,ReLU,0.0182615,1.13251,0.204,0.213832,0.215832,0.214828
115,ReLU,0.0178466,1.13265,0.204,0.213832,0.215832,0.214828
116,ReLU,0.0174391,1.1324,0.204,0.213832,0.215832,0.214828
117,ReLU,0.0170473,1.13227,0.204,0.213832,0.215832,0.214828
118,ReLU,0.0166702,1.13198,0.204,0.213198,0.215832,0.214507
119,ReLU,0.0163094,1.13198,0.204,0.212082,0.215832,0.213941
120,ReLU,0.0159558,1.13175,0.204,0.212082,0.215832,0.213941
121,ReLU,0.015613,1.13179,0.204,0.212082,0.215832,0.213941
122,ReLU,0.0152813,1.13163,0.204,0.212082,0.215832,0.213941
123,ReLU,0.0149597,1.13155,0.204,0.212082,0.215832,0.213941
124,ReLU,0.0146467,1.13165,0.204,0.212082,0.215832,0.213941
125,ReLU,0.0143379,1.13159,0.204,0.212082,0.215832,0.213941
126,ReLU,0.0140475,1.13113,0.204,0.212082,0.215832,0.213941
127,ReLU,0.0137644,1.13125,0.204,0.211563,0.215832,0.213676
128,ReLU,0.0134888,1.13124,0.204,0.211563,0.215832,0.213676
129,ReLU,0.0132169,1.13119,0.204,0.210511,0.215832,0.213139
130,ReLU,0.0129569,1.13124,0.208,0.213629,0.219404,0.216478
131,ReLU,0.012702,1.13101,0.208,0.213629,0.219404,0.216478
132,ReLU,0.0124577,1.13089,0.208,0.212749,0.219404,0.216025
133,ReLU,0.012219,1.13091,0.208,0.212749,0.219404,0.216025
134,ReLU,0.0119858,1.13084,0.208,0.212872,0.219404,0.216088
135,ReLU,0.0117608,1.13087,0.208,0.213928,0.219404,0.216631
136,ReLU,0.0115446,1.13081,0.208,0.213928,0.219404,0.216631
137,ReLU,0.0113324,1.13076,0.208,0.213928,0.219404,0.216631
138,ReLU,0.0111252,1.13062,0.208,0.213928,0.219404,0.216631
139,ReLU,0.0109261,1.13066,0.208,0.214382,0.219404,0.216864
140,ReLU,0.0107332,1.13053,0.208,0.214382,0.219404,0.216864
141,ReLU,0.0105469,1.13065,0.208,0.214382,0.219404,0.216864
142,ReLU,0.0103648,1.13051,0.208,0.214382,0.219404,0.216864
143,ReLU,0.0101832,1.13044,0.208,0.214382,0.219404,0.216864
144,ReLU,0.0100108,1.13066,0.208,0.214806,0.219404,0.217081
145,ReLU,0.00984072,1.1302,0.208,0.214806,0.219404,0.217081
146,ReLU,0.00967475,1.13035,0.208,0.214806,0.219404,0.217081
147,ReLU,0.00951066,1.13032,0.208,0.214806,0.219404,0.217081
148,ReLU,0.00935232,1.13018,0.208,0.214806,0.219404,0.217081
149,ReLU,0.0091965,1.13038,0.208,0.214806,0.219404,0.217081
150,ReLU,0.00904409,1.13009,0.208,0.214806,0.219404,0.217081
151,ReLU,0.00889689,1.13026,0.208,0.215171,0.219404,0.217267
152,ReLU,0.00875083,1.13012,0.208,0.215171,0.219404,0.217267
153,ReLU,0.00860602,1.13019,0.208,0.215171,0.219404,0.217267
154,ReLU,0.00846623,1.13006,0.208,0.214886,0.219404,0.217122
155,ReLU,0.00832972,1.13021,0.208,0.215171,0.219404,0.217267
156,ReLU,0.00819732,1.13012,0.208,0.215171,0.219404,0.217267
157,ReLU,0.00806658,1.13009,0.208,0.214886,0.219404,0.217122
158,ReLU,0.00793804,1.13014,0.208,0.214886,0.219404,0.217122
159,ReLU,0.00781597,1.13001,0.204,0.211054,0.215832,0.213416
160,ReLU,0.00769675,1.13017,0.208,0.214886,0.219404,0.217122
161,ReLU,0.00758049,1.1302,0.204,0.211054,0.215832,0.213416
162,ReLU,0.00746843,1.13005,0.204,0.211054,0.215832,0.213416
163,ReLU,0.00736053,1.13025,0.204,0.211054,0.215832,0.213416
164,ReLU,0.00725374,1.13013,0.204,0.211054,0.215832,0.213416
165,ReLU,0.00714875,1.13034,0.204,0.211054,0.215832,0.213416
166,ReLU,0.00704481,1.13023,0.204,0.211054,0.215832,0.213416
167,ReLU,0.00694486,1.13016,0.204,0.211054,0.215832,0.213416
168,ReLU,0.00684749,1.13028,0.204,0.211054,0.215832,0.213416
169,ReLU,0.00674945,1.1303,0.204,0.211054,0.215832,0.213416
170,ReLU,0.0066561,1.13034,0.204,0.211054,0.215832,0.213416
171,ReLU,0.00656157,1.13034,0.204,0.211054,0.215832,0.213416
172,ReLU,0.00647058,1.13022,0.204,0.211054,0.215832,0.213416
173,ReLU,0.00638147,1.13043,0.204,0.211054,0.215832,0.213416
174,ReLU,0.00629184,1.13034,0.204,0.211054,0.215832,0.213416
175,ReLU,0.00620644,1.13033,0.204,0.211054,0.215832,0.213416
176,ReLU,0.00612602,1.13055,0.204,0.211054,0.215832,0.213416
177,ReLU,0.00604369,1.13045,0.204,0.211054,0.215832,0.213416
178,ReLU,0.00596455,1.13064,0.204,0.211054,0.215832,0.213416
179,ReLU,0.0058868,1.13042,0.204,0.211054,0.215832,0.213416
180,ReLU,0.0058117,1.13067,0.204,0.211054,0.215832,0.213416
181,ReLU,0.00573573,1.13048,0.204,0.211054,0.215832,0.213416
182,ReLU,0.00566403,1.13067,0.204,0.211054,0.215832,0.213416
183,ReLU,0.00558967,1.13069,0.204,0.211054,0.215832,0.213416
184,ReLU,0.00551945,1.13081,0.204,0.211054,0.215832,0.213416
185,ReLU,0.00544912,1.13085,0.204,0.211054,0.215832,0.213416
186,ReLU,0.00538332,1.13082,0.204,0.211054,0.215832,0.213416
187,ReLU,0.00532087,1.13085,0.204,0.211054,0.215832,0.213416
188,ReLU,0.00525852,1.131,0.204,0.211054,0.215832,0.213416
189,ReLU,0.00519652,1.13105,0.204,0.211054,0.215832,0.213416
190,ReLU,0.00513647,1.13112,0.204,0.211054,0.215832,0.213416
191,ReLU,0.00507726,1.13113,0.204,0.211054,0.215832,0.213416
192,ReLU,0.00502035,1.13127,0.204,0.211054,0.215832,0.213416
193,ReLU,0.00496344,1.1312,0.204,0.211054,0.215832,0.213416
194,ReLU,0.00490793,1.1314,0.204,0.211054,0.215832,0.213416
195,ReLU,0.0048535,1.13145,0.204,0.211054,0.215832,0.213416
196,ReLU,0.00479905,1.13145,0.204,0.211578,0.215832,0.213684
197,ReLU,0.00474575,1.13147,0.204,0.211578,0.215832,0.213684
198,ReLU,0.00469264,1.13157,0.204,0.211578,0.215832,0.213684
