epoch,activation_function,train_loss,test_loss,accuracy,precision,recall,f1_score
0,ReLU,2.39256,2.38994,0.128,nan,0.115801,nan
1,ReLU,2.40062,2.34862,0.12,nan,0.135236,nan
2,ReLU,2.2302,2.36689,0.132,nan,0.171452,nan
3,ReLU,2.14294,2.25622,0.144,nan,0.142232,nan
4,ReLU,2.13288,2.13938,0.156,0.130346,0.164155,0.14531
5,ReLU,1.78422,2.04744,0.148,0.160959,0.158713,0.159828
6,ReLU,1.47446,2.00716,0.16,0.15438,0.168663,0.161206
7,ReLU,1.24803,2.02879,0.156,0.174092,0.17055,0.172303
8,ReLU,1.10166,1.95949,0.184,0.177187,0.191658,0.184139
9,ReLU,0.990995,2.00953,0.156,0.180075,0.171182,0.175516
10,ReLU,0.90772,1.94265,0.176,0.166022,0.179499,0.172498
11,ReLU,0.737341,1.98661,0.164,0.174201,0.174123,0.174162
12,ReLU,0.648038,1.93721,0.172,0.165252,0.175586,0.170262
13,ReLU,0.557203,1.96407,0.172,0.184422,0.182259,0.183334
14,ReLU,0.47279,1.92405,0.168,0.167132,0.16962,0.168367
15,ReLU,0.408543,1.95602,0.16,0.171282,0.165421,0.1683
16,ReLU,0.336655,1.9178,0.176,0.172945,0.175558,0.174242
17,ReLU,0.292247,1.95291,0.16,0.180422,0.165962,0.17289
18,ReLU,0.246353,1.92752,0.192,0.18974,0.191705,0.190717
19,ReLU,0.222197,1.93892,0.164,0.178909,0.167549,0.173043
20,ReLU,0.188969,1.93637,0.192,0.194025,0.193812,0.193919
21,ReLU,0.157025,1.93811,0.172,0.186895,0.17361,0.180008
22,ReLU,0.133461,1.93945,0.184,0.200796,0.185644,0.192923
23,ReLU,0.114525,1.93721,0.18,0.198057,0.182614,0.190022
24,ReLU,0.0994431,1.93884,0.18,0.197038,0.182614,0.189552
25,ReLU,0.087644,1.93901,0.176,0.194157,0.179583,0.186586
26,ReLU,0.0770088,1.94116,0.184,0.199443,0.185644,0.192296
27,ReLU,0.0674984,1.93869,0.18,0.200366,0.182809,0.191186
28,ReLU,0.0599508,1.94098,0.176,0.192106,0.179042,0.185344
29,ReLU,0.0532808,1.94067,0.18,0.199917,0.182809,0.190981
30,ReLU,0.0466679,1.94179,0.176,0.191599,0.179042,0.185108
31,ReLU,0.0406747,1.94221,0.18,0.198866,0.182268,0.190206
32,ReLU,0.035812,1.94223,0.18,0.194898,0.182073,0.188267
