epoch,activation_function,train_loss,test_loss,accuracy,precision,recall,f1_score
0,ReLU,0.988322,0.974302,0.096,nan,0.0976552,nan
1,ReLU,0.911458,0.926921,0.108,nan,0.110008,nan
2,ReLU,0.861761,0.886614,0.132,0.157149,0.132338,0.143681
3,ReLU,0.818705,0.850281,0.136,0.162627,0.131543,0.145442
4,ReLU,0.779551,0.817078,0.148,0.18128,0.142257,0.159415
5,ReLU,0.744148,0.7871,0.152,0.186101,0.145828,0.163521
6,ReLU,0.712237,0.760152,0.144,0.170547,0.141556,0.154705
7,ReLU,0.683624,0.735416,0.152,0.177419,0.148699,0.161795
8,ReLU,0.65769,0.712693,0.148,0.166465,0.141007,0.152682
9,ReLU,0.634309,0.691969,0.136,0.155104,0.129781,0.141317
10,ReLU,0.613271,0.672452,0.128,0.144485,0.123525,0.133185
11,ReLU,0.594258,0.653934,0.136,0.152843,0.132652,0.142033
12,ReLU,0.576959,0.636632,0.14,0.14978,0.138208,0.143761
13,ReLU,0.561292,0.620259,0.144,0.152174,0.141656,0.146727
14,ReLU,0.546823,0.604801,0.14,0.148856,0.138626,0.143559
15,ReLU,0.533382,0.590244,0.132,0.137022,0.127485,0.132082
16,ReLU,0.520871,0.576476,0.136,0.138476,0.13304,0.135704
17,ReLU,0.509105,0.563355,0.136,0.131823,0.132499,0.132161
18,ReLU,0.498077,0.55093,0.14,0.133007,0.13553,0.134257
19,ReLU,0.48767,0.53903,0.148,0.140248,0.142755,0.141491
20,ReLU,0.477769,0.52786,0.152,0.145018,0.148638,0.146806
21,ReLU,0.468399,0.517228,0.152,0.143455,0.148638,0.146001
22,ReLU,0.459515,0.507092,0.156,0.145938,0.15452,0.150107
23,ReLU,0.451096,0.497447,0.16,0.149529,0.155762,0.152582
24,ReLU,0.443042,0.488197,0.16,0.150274,0.155762,0.152969
25,ReLU,0.435337,0.479239,0.16,0.149659,0.155762,0.152649
26,ReLU,0.427939,0.470673,0.164,0.153804,0.159762,0.156726
27,ReLU,0.420862,0.462428,0.168,0.156487,0.162792,0.159577
28,ReLU,0.414039,0.454571,0.16,0.149887,0.154206,0.152016
29,ReLU,0.40746,0.446995,0.16,0.152984,0.154206,0.153593
30,ReLU,0.401137,0.439782,0.16,0.152234,0.154206,0.153214
