epoch,activation_function,train_loss,test_loss,accuracy,precision,recall,f1_score
0,ReLU,2.50644,2.43172,0.096,nan,0.092936,nan
1,ReLU,2.4304,2.44049,0.112,nan,0.1,nan
2,ReLU,2.48575,2.31338,0.136,nan,0.171487,nan
3,ReLU,2.34922,2.37926,0.108,nan,0.0986878,nan
4,ReLU,2.32191,2.12716,0.144,nan,0.125104,nan
5,ReLU,2.08439,2.11171,0.156,nan,0.175474,nan
6,ReLU,1.89551,1.97216,0.164,0.196009,0.172132,0.183297
7,ReLU,1.54774,1.90519,0.152,0.17968,0.152509,0.164984
8,ReLU,1.25294,1.89871,0.18,0.210126,0.190821,0.200009
9,ReLU,1.08889,1.84563,0.164,0.195846,0.174623,0.184626
10,ReLU,0.891124,1.83367,0.176,0.197122,0.182617,0.189592
11,ReLU,0.730781,1.85916,0.172,0.193637,0.187508,0.190523
12,ReLU,0.641578,1.78331,0.188,0.201177,0.192873,0.196938
13,ReLU,0.56498,1.8482,0.172,0.190478,0.188195,0.189329
14,ReLU,0.47099,1.78325,0.196,0.21014,0.199129,0.204487
15,ReLU,0.387423,1.80039,0.176,0.187322,0.186436,0.186878
16,ReLU,0.30167,1.79773,0.184,0.204324,0.189502,0.196634
17,ReLU,0.23637,1.78662,0.188,0.19615,0.197929,0.197036
18,ReLU,0.201803,1.79308,0.18,0.202861,0.18689,0.194548
19,ReLU,0.16958,1.79463,0.184,0.195589,0.194357,0.194971
20,ReLU,0.148051,1.78106,0.18,0.195135,0.189761,0.192411
21,ReLU,0.121759,1.78118,0.196,0.207424,0.202964,0.20517
22,ReLU,0.103044,1.78001,0.184,0.199887,0.190807,0.195242
23,ReLU,0.0871734,1.77685,0.192,0.202173,0.197409,0.199762
24,ReLU,0.0746912,1.77748,0.188,0.201611,0.194378,0.197929
25,ReLU,0.0645715,1.77435,0.18,0.19484,0.187777,0.191243
26,ReLU,0.0570286,1.77279,0.196,0.208177,0.20549,0.206825
27,ReLU,0.0488251,1.76763,0.192,0.204871,0.199934,0.202372
28,ReLU,0.0421348,1.76892,0.2,0.210146,0.20852,0.20933
29,ReLU,0.0364655,1.76541,0.2,0.210191,0.208397,0.20929
30,ReLU,0.0315431,1.76764,0.196,0.206542,0.204948,0.205742
31,ReLU,0.0270515,1.76159,0.2,0.212818,0.208397,0.210584
32,ReLU,0.0231251,1.76158,0.2,0.210828,0.208397,0.209605
33,ReLU,0.0202224,1.76143,0.196,0.208417,0.204825,0.206605
34,ReLU,0.0181625,1.76028,0.2,0.210828,0.208397,0.209605
35,ReLU,0.0162327,1.75966,0.2,0.2094,0.208397,0.208897
36,ReLU,0.0146334,1.75879,0.2,0.209622,0.208397,0.209008
37,ReLU,0.0131599,1.75803,0.2,0.2094,0.208397,0.208897
38,ReLU,0.0116211,1.75753,0.2,0.2094,0.208397,0.208897
39,ReLU,0.01042,1.75657,0.2,0.2094,0.208397,0.208897
40,ReLU,0.00928872,1.75666,0.2,0.209629,0.208397,0.209011
41,ReLU,0.00847495,1.75595,0.2,0.209629,0.208397,0.209011
42,ReLU,0.00771393,1.75618,0.2,0.209629,0.208397,0.209011
43,ReLU,0.00717067,1.75556,0.2,0.210495,0.208397,0.20944
44,ReLU,0.00659438,1.75567,0.2,0.210495,0.208397,0.20944
45,ReLU,0.00612524,1.75528,0.2,0.210495,0.208397,0.20944
46,ReLU,0.00575373,1.75509,0.2,0.210877,0.208397,0.20963
47,ReLU,0.00537386,1.7551,0.2,0.210877,0.208397,0.20963
48,ReLU,0.0050391,1.75485,0.2,0.211198,0.208397,0.209788
49,ReLU,0.00480464,1.75442,0.2,0.211198,0.208397,0.209788
50,ReLU,0.00453351,1.7544,0.2,0.211198,0.208397,0.209788
51,ReLU,0.00427179,1.75415,0.2,0.211767,0.208397,0.210068
52,ReLU,0.00406748,1.75371,0.2,0.211767,0.208397,0.210068
53,ReLU,0.00383839,1.75383,0.196,0.208427,0.205366,0.206885
54,ReLU,0.00362856,1.75345,0.196,0.208427,0.205366,0.206885
55,ReLU,0.00342283,1.75318,0.196,0.208427,0.205366,0.206885
56,ReLU,0.0032651,1.75306,0.196,0.208427,0.205366,0.206885
57,ReLU,0.00306708,1.75297,0.196,0.208427,0.205366,0.206885
58,ReLU,0.00290167,1.75269,0.196,0.208427,0.205366,0.206885
59,ReLU,0.00274884,1.752,0.196,0.208427,0.205366,0.206885
60,ReLU,0.00265389,1.75242,0.196,0.208427,0.205366,0.206885
61,ReLU,0.00246691,1.7523,0.2,0.212124,0.208815,0.210456
62,ReLU,0.00234943,1.7521,0.2,0.212124,0.208815,0.210456
63,ReLU,0.00220658,1.75185,0.2,0.211647,0.208815,0.210222
64,ReLU,0.0020789,1.75188,0.2,0.211815,0.208815,0.210304
65,ReLU,0.00199089,1.75165,0.196,0.209618,0.205243,0.207408
66,ReLU,0.00189755,1.75168,0.196,0.209618,0.205243,0.207408
67,ReLU,0.00182098,1.75164,0.196,0.209741,0.205243,0.207468
68,ReLU,0.00174992,1.75158,0.196,0.209741,0.205243,0.207468
69,ReLU,0.00168679,1.75152,0.196,0.209741,0.205243,0.207468
70,ReLU,0.00162821,1.75143,0.196,0.209741,0.205243,0.207468
